,Fold,accuracy,other_metrics,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_cvae,learning_rate,dropout_input,dropout_hidden,dropout_decoder,freeze_weights,classifier_use_z,classifier_loss,reconstruction_loss
0,1,0.6785714030265808,"{'Basal': {'precision': 0.8571428571428571, 'recall': 0.8571428571428571, 'f1-score': 0.8571428571428571, 'support': 14}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7}, 'LumA': {'precision': 0.6507936507936508, 'recall': 0.9761904761904762, 'f1-score': 0.7809523809523808, 'support': 42}, 'LumB': {'precision': 0.6666666666666666, 'recall': 0.2222222222222222, 'f1-score': 0.3333333333333333, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.6785714285714286, 'recall': 0.6785714285714286, 'f1-score': 0.6785714285714286, 'support': 84}, 'macro avg': {'precision': 0.4349206349206349, 'recall': 0.4111111111111111, 'f1-score': 0.39428571428571424, 'support': 84}, 'weighted avg': {'precision': 0.6111111111111112, 'recall': 0.6785714285714286, 'f1-score': 0.6047619047619047, 'support': 84}}",0.6467311,300,100,64,100,0.001,0.2,0.4,True,False,False,categorical_crossentropy,binary_crossentropy
1,2,0.5714285969734192,"{'Basal': {'precision': 0.8571428571428571, 'recall': 0.42857142857142855, 'f1-score': 0.5714285714285714, 'support': 14}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7}, 'LumA': {'precision': 0.5454545454545454, 'recall': 1.0, 'f1-score': 0.7058823529411764, 'support': 42}, 'LumB': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.5714285714285714, 'recall': 0.5714285714285714, 'f1-score': 0.5714285714285714, 'support': 84}, 'macro avg': {'precision': 0.2805194805194805, 'recall': 0.2857142857142857, 'f1-score': 0.25546218487394956, 'support': 84}, 'weighted avg': {'precision': 0.41558441558441556, 'recall': 0.5714285714285714, 'f1-score': 0.4481792717086834, 'support': 84}}",0.6467311,300,100,64,100,0.001,0.2,0.4,True,False,False,categorical_crossentropy,binary_crossentropy
2,3,0.6547619104385376,"{'Basal': {'precision': 1.0, 'recall': 0.5, 'f1-score': 0.6666666666666666, 'support': 14}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7}, 'LumA': {'precision': 0.5915492957746479, 'recall': 1.0, 'f1-score': 0.743362831858407, 'support': 42}, 'LumB': {'precision': 1.0, 'recall': 0.3333333333333333, 'f1-score': 0.5, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.6547619047619048, 'recall': 0.6547619047619048, 'f1-score': 0.6547619047619048, 'support': 84}, 'macro avg': {'precision': 0.5183098591549296, 'recall': 0.36666666666666664, 'f1-score': 0.38200589970501475, 'support': 84}, 'weighted avg': {'precision': 0.6767270288397049, 'recall': 0.6547619047619048, 'f1-score': 0.5899353841831717, 'support': 84}}",0.6467311,300,100,64,100,0.001,0.2,0.4,True,False,False,categorical_crossentropy,binary_crossentropy
3,4,0.6428571343421936,"{'Basal': {'precision': 0.9090909090909091, 'recall': 0.7142857142857143, 'f1-score': 0.8, 'support': 14}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7}, 'LumA': {'precision': 0.6153846153846154, 'recall': 0.9523809523809523, 'f1-score': 0.7476635514018692, 'support': 42}, 'LumB': {'precision': 0.5714285714285714, 'recall': 0.2222222222222222, 'f1-score': 0.32, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.6428571428571429, 'recall': 0.6428571428571429, 'f1-score': 0.6428571428571429, 'support': 84}, 'macro avg': {'precision': 0.41918081918081923, 'recall': 0.37777777777777777, 'f1-score': 0.3735327102803739, 'support': 84}, 'weighted avg': {'precision': 0.581656438799296, 'recall': 0.6428571428571429, 'f1-score': 0.5757365376056965, 'support': 84}}",0.6467311,300,100,64,100,0.001,0.2,0.4,True,False,False,categorical_crossentropy,binary_crossentropy
4,5,0.6071428656578064,"{'Basal': {'precision': 0.8333333333333334, 'recall': 0.7142857142857143, 'f1-score': 0.7692307692307692, 'support': 14}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7}, 'LumA': {'precision': 0.5694444444444444, 'recall': 0.9761904761904762, 'f1-score': 0.7192982456140351, 'support': 42}, 'LumB': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.6071428571428571, 'recall': 0.6071428571428571, 'f1-score': 0.6071428571428571, 'support': 84}, 'macro avg': {'precision': 0.28055555555555556, 'recall': 0.3380952380952381, 'f1-score': 0.2977058029689609, 'support': 84}, 'weighted avg': {'precision': 0.42361111111111105, 'recall': 0.6071428571428571, 'f1-score': 0.4878542510121457, 'support': 84}}",0.6467311,300,100,64,100,0.001,0.2,0.4,True,False,False,categorical_crossentropy,binary_crossentropy
5,6,0.654321014881134,"{'Basal': {'precision': 0.8333333333333334, 'recall': 0.7142857142857143, 'f1-score': 0.7692307692307692, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.16666666666666666, 'f1-score': 0.2857142857142857, 'support': 6}, 'LumA': {'precision': 0.6229508196721312, 'recall': 0.926829268292683, 'f1-score': 0.7450980392156863, 'support': 41}, 'LumB': {'precision': 0.5714285714285714, 'recall': 0.2222222222222222, 'f1-score': 0.32, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.654320987654321, 'recall': 0.654320987654321, 'f1-score': 0.654320987654321, 'support': 81}, 'macro avg': {'precision': 0.6055425448868071, 'recall': 0.4060007742934572, 'f1-score': 0.4240086188321482, 'support': 81}, 'weighted avg': {'precision': 0.6604119081350411, 'recall': 0.654320987654321, 'f1-score': 0.6023769887822175, 'support': 81}}",0.6467311,300,100,64,100,0.001,0.2,0.4,True,False,False,categorical_crossentropy,binary_crossentropy
6,7,0.6962025165557861,"{'Basal': {'precision': 0.7857142857142857, 'recall': 0.8461538461538461, 'f1-score': 0.8148148148148148, 'support': 13}, 'Her2': {'precision': 0.5, 'recall': 0.3333333333333333, 'f1-score': 0.4, 'support': 6}, 'LumA': {'precision': 0.6851851851851852, 'recall': 0.9024390243902439, 'f1-score': 0.7789473684210526, 'support': 41}, 'LumB': {'precision': 0.7142857142857143, 'recall': 0.29411764705882354, 'f1-score': 0.4166666666666667, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.6962025316455697, 'recall': 0.6962025316455697, 'f1-score': 0.6962025316455697, 'support': 79}, 'macro avg': {'precision': 0.537037037037037, 'recall': 0.4752087701872494, 'f1-score': 0.48208576998050684, 'support': 79}, 'weighted avg': {'precision': 0.6765789297434868, 'recall': 0.6962025316455697, 'f1-score': 0.6583894687492289, 'support': 79}}",0.6467311,300,100,64,100,0.001,0.2,0.4,True,False,False,categorical_crossentropy,binary_crossentropy
7,8,0.7215189933776855,"{'Basal': {'precision': 0.8333333333333334, 'recall': 0.7692307692307693, 'f1-score': 0.8, 'support': 13}, 'Her2': {'precision': 1.0, 'recall': 0.16666666666666666, 'f1-score': 0.2857142857142857, 'support': 6}, 'LumA': {'precision': 0.6833333333333333, 'recall': 1.0, 'f1-score': 0.8118811881188119, 'support': 41}, 'LumB': {'precision': 0.8333333333333334, 'recall': 0.29411764705882354, 'f1-score': 0.4347826086956522, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.7215189873417721, 'recall': 0.7215189873417721, 'f1-score': 0.7215189873417721, 'support': 79}, 'macro avg': {'precision': 0.67, 'recall': 0.4460030165912519, 'f1-score': 0.46647561650575, 'support': 79}, 'weighted avg': {'precision': 0.7470464135021097, 'recall': 0.7215189873417721, 'f1-score': 0.6682622629744694, 'support': 79}}",0.6467311,300,100,64,100,0.001,0.2,0.4,True,False,False,categorical_crossentropy,binary_crossentropy
8,9,0.607594907283783,"{'Basal': {'precision': 0.875, 'recall': 0.5384615384615384, 'f1-score': 0.6666666666666667, 'support': 13}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6}, 'LumA': {'precision': 0.5797101449275363, 'recall': 0.975609756097561, 'f1-score': 0.7272727272727274, 'support': 41}, 'LumB': {'precision': 0.5, 'recall': 0.058823529411764705, 'f1-score': 0.10526315789473684, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.6075949367088608, 'recall': 0.6075949367088608, 'f1-score': 0.6075949367088608, 'support': 79}, 'macro avg': {'precision': 0.39094202898550723, 'recall': 0.3145789647941728, 'f1-score': 0.29984051036682613, 'support': 79}, 'weighted avg': {'precision': 0.5524445055953036, 'recall': 0.6075949367088608, 'f1-score': 0.5098015464437851, 'support': 79}}",0.6467311,300,100,64,100,0.001,0.2,0.4,True,False,False,categorical_crossentropy,binary_crossentropy
9,10,0.6329113841056824,"{'Basal': {'precision': 0.875, 'recall': 0.5384615384615384, 'f1-score': 0.6666666666666667, 'support': 13}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6}, 'LumA': {'precision': 0.5970149253731343, 'recall': 0.975609756097561, 'f1-score': 0.7407407407407406, 'support': 41}, 'LumB': {'precision': 0.75, 'recall': 0.17647058823529413, 'f1-score': 0.2857142857142857, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.6329113924050633, 'recall': 0.6329113924050633, 'f1-score': 0.6329113924050633, 'support': 79}, 'macro avg': {'precision': 0.44440298507462683, 'recall': 0.3381083765588787, 'f1-score': 0.3386243386243386, 'support': 79}, 'weighted avg': {'precision': 0.6152229359531456, 'recall': 0.6329113924050633, 'f1-score': 0.5556225303060744, 'support': 79}}",0.6467311,300,100,64,100,0.001,0.2,0.4,True,False,False,categorical_crossentropy,binary_crossentropy
