,Fold,accuracy,other_metrics,mean_accuracy,hidden_1,hidden_2,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden
0,1,0.773809552192688,"{'Basal': {'precision': 0.7777777777777778, 'recall': 1.0, 'f1-score': 0.8750000000000001, 'support': 14}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7}, 'LumA': {'precision': 0.7959183673469388, 'recall': 0.9285714285714286, 'f1-score': 0.8571428571428572, 'support': 42}, 'LumB': {'precision': 0.7058823529411765, 'recall': 0.6666666666666666, 'f1-score': 0.6857142857142857, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.7738095238095238, 'recall': 0.7738095238095238, 'f1-score': 0.7738095238095238, 'support': 84}, 'macro avg': {'precision': 0.4559156996131787, 'recall': 0.5190476190476191, 'f1-score': 0.48357142857142854, 'support': 84}, 'weighted avg': {'precision': 0.6788493175047796, 'recall': 0.7738095238095238, 'f1-score': 0.7213435374149659, 'support': 84}}",0.7638632,300,100,64,100,0.001,0.6,0.6
1,2,0.738095223903656,"{'Basal': {'precision': 0.8125, 'recall': 0.9285714285714286, 'f1-score': 0.8666666666666666, 'support': 14}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7}, 'LumA': {'precision': 0.8043478260869565, 'recall': 0.8809523809523809, 'f1-score': 0.8409090909090908, 'support': 42}, 'LumB': {'precision': 0.6, 'recall': 0.6666666666666666, 'f1-score': 0.631578947368421, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.7380952380952381, 'recall': 0.7380952380952381, 'f1-score': 0.7380952380952381, 'support': 84}, 'macro avg': {'precision': 0.44336956521739135, 'recall': 0.49523809523809526, 'f1-score': 0.46783094098883565, 'support': 84}, 'weighted avg': {'precision': 0.6661620082815735, 'recall': 0.7380952380952381, 'f1-score': 0.7002373357636515, 'support': 84}}",0.7638632,300,100,64,100,0.001,0.6,0.6
2,3,0.7142857313156128,"{'Basal': {'precision': 0.8666666666666667, 'recall': 0.9285714285714286, 'f1-score': 0.896551724137931, 'support': 14}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7}, 'LumA': {'precision': 0.7321428571428571, 'recall': 0.9761904761904762, 'f1-score': 0.836734693877551, 'support': 42}, 'LumB': {'precision': 0.4, 'recall': 0.2222222222222222, 'f1-score': 0.2857142857142857, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.6666666666666666, 'f1-score': 0.8, 'support': 3}, 'micro avg': {'precision': 0.7142857142857143, 'recall': 0.7142857142857143, 'f1-score': 0.7142857142857143, 'support': 84}, 'macro avg': {'precision': 0.5997619047619047, 'recall': 0.5587301587301587, 'f1-score': 0.5638001407459535, 'support': 84}, 'weighted avg': {'precision': 0.6319444444444444, 'recall': 0.7142857142857143, 'f1-score': 0.6575885526624441, 'support': 84}}",0.7638632,300,100,64,100,0.001,0.6,0.6
3,4,0.75,"{'Basal': {'precision': 0.9333333333333333, 'recall': 1.0, 'f1-score': 0.9655172413793104, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.42857142857142855, 'f1-score': 0.6, 'support': 7}, 'LumA': {'precision': 0.7674418604651163, 'recall': 0.7857142857142857, 'f1-score': 0.7764705882352941, 'support': 42}, 'LumB': {'precision': 0.5652173913043478, 'recall': 0.7222222222222222, 'f1-score': 0.6341463414634146, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.75, 'recall': 0.75, 'f1-score': 0.75, 'support': 84}, 'macro avg': {'precision': 0.6531985170205594, 'recall': 0.5873015873015873, 'f1-score': 0.5952268342156039, 'support': 84}, 'weighted avg': {'precision': 0.7437278315438073, 'recall': 0.75, 'f1-score': 0.7350433360896924, 'support': 84}}",0.7638632,300,100,64,100,0.001,0.6,0.6
4,5,0.7976190447807312,"{'Basal': {'precision': 1.0, 'recall': 0.8571428571428571, 'f1-score': 0.923076923076923, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.2857142857142857, 'f1-score': 0.4444444444444445, 'support': 7}, 'LumA': {'precision': 0.918918918918919, 'recall': 0.8095238095238095, 'f1-score': 0.860759493670886, 'support': 42}, 'LumB': {'precision': 0.6538461538461539, 'recall': 0.9444444444444444, 'f1-score': 0.7727272727272727, 'support': 18}, 'Normal': {'precision': 0.2857142857142857, 'recall': 0.6666666666666666, 'f1-score': 0.4, 'support': 3}, 'micro avg': {'precision': 0.7976190476190477, 'recall': 0.7976190476190477, 'f1-score': 0.7976190476190477, 'support': 84}, 'macro avg': {'precision': 0.7716958716958716, 'recall': 0.7126984126984126, 'f1-score': 0.6802016267839052, 'support': 84}, 'weighted avg': {'precision': 0.8597734312020028, 'recall': 0.7976190476190477, 'f1-score': 0.8011330675887637, 'support': 84}}",0.7638632,300,100,64,100,0.001,0.6,0.6
5,6,0.8395061492919922,"{'Basal': {'precision': 0.9333333333333333, 'recall': 1.0, 'f1-score': 0.9655172413793104, 'support': 14}, 'Her2': {'precision': 0.8, 'recall': 0.6666666666666666, 'f1-score': 0.7272727272727272, 'support': 6}, 'LumA': {'precision': 0.7843137254901961, 'recall': 0.975609756097561, 'f1-score': 0.8695652173913043, 'support': 41}, 'LumB': {'precision': 1.0, 'recall': 0.5555555555555556, 'f1-score': 0.7142857142857143, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.8395061728395061, 'recall': 0.8395061728395061, 'f1-score': 0.8395061728395061, 'support': 81}, 'macro avg': {'precision': 0.7035294117647058, 'recall': 0.6395663956639567, 'f1-score': 0.6553281800658113, 'support': 81}, 'weighted avg': {'precision': 0.8397966594045027, 'recall': 0.8395061728395061, 'f1-score': 0.8196320310263339, 'support': 81}}",0.7638632,300,100,64,100,0.001,0.6,0.6
6,7,0.7721518874168396,"{'Basal': {'precision': 0.9285714285714286, 'recall': 1.0, 'f1-score': 0.962962962962963, 'support': 13}, 'Her2': {'precision': 1.0, 'recall': 0.5, 'f1-score': 0.6666666666666666, 'support': 6}, 'LumA': {'precision': 0.7906976744186046, 'recall': 0.8292682926829268, 'f1-score': 0.8095238095238095, 'support': 41}, 'LumB': {'precision': 0.6111111111111112, 'recall': 0.6470588235294118, 'f1-score': 0.6285714285714287, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.7721518987341772, 'recall': 0.7721518987341772, 'f1-score': 0.7721518987341772, 'support': 79}, 'macro avg': {'precision': 0.6660760428202288, 'recall': 0.5952654232424677, 'f1-score': 0.6135449735449735, 'support': 79}, 'weighted avg': {'precision': 0.7706192672339273, 'recall': 0.7721518987341772, 'f1-score': 0.7644899872747973, 'support': 79}}",0.7638632,300,100,64,100,0.001,0.6,0.6
7,8,0.8354430198669434,"{'Basal': {'precision': 0.9230769230769231, 'recall': 0.9230769230769231, 'f1-score': 0.9230769230769231, 'support': 13}, 'Her2': {'precision': 1.0, 'recall': 0.3333333333333333, 'f1-score': 0.5, 'support': 6}, 'LumA': {'precision': 0.9024390243902439, 'recall': 0.9024390243902439, 'f1-score': 0.9024390243902439, 'support': 41}, 'LumB': {'precision': 0.7, 'recall': 0.8235294117647058, 'f1-score': 0.7567567567567567, 'support': 17}, 'Normal': {'precision': 0.3333333333333333, 'recall': 0.5, 'f1-score': 0.4, 'support': 2}, 'micro avg': {'precision': 0.8354430379746836, 'recall': 0.8354430379746836, 'f1-score': 0.8354430379746836, 'support': 79}, 'macro avg': {'precision': 0.7717698561601002, 'recall': 0.6964757385130411, 'f1-score': 0.6964545408447848, 'support': 79}, 'weighted avg': {'precision': 0.8552742616033756, 'recall': 0.8354430379746836, 'f1-score': 0.8312008210742389, 'support': 79}}",0.7638632,300,100,64,100,0.001,0.6,0.6
8,9,0.7341772317886353,"{'Basal': {'precision': 0.9166666666666666, 'recall': 0.8461538461538461, 'f1-score': 0.8799999999999999, 'support': 13}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6}, 'LumA': {'precision': 0.8095238095238095, 'recall': 0.8292682926829268, 'f1-score': 0.8192771084337348, 'support': 41}, 'LumB': {'precision': 0.52, 'recall': 0.7647058823529411, 'f1-score': 0.6190476190476191, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.7341772151898734, 'recall': 0.7341772151898734, 'f1-score': 0.7341772151898734, 'support': 79}, 'macro avg': {'precision': 0.44923809523809527, 'recall': 0.48802560423794283, 'f1-score': 0.4636649454962708, 'support': 79}, 'weighted avg': {'precision': 0.6828752260397829, 'recall': 0.7341772151898734, 'f1-score': 0.7032173540454766, 'support': 79}}",0.7638632,300,100,64,100,0.001,0.6,0.6
9,10,0.6835442781448364,"{'Basal': {'precision': 0.8666666666666667, 'recall': 1.0, 'f1-score': 0.9285714285714286, 'support': 13}, 'Her2': {'precision': 1.0, 'recall': 0.16666666666666666, 'f1-score': 0.2857142857142857, 'support': 6}, 'LumA': {'precision': 0.8055555555555556, 'recall': 0.7073170731707317, 'f1-score': 0.7532467532467532, 'support': 41}, 'LumB': {'precision': 0.4074074074074074, 'recall': 0.6470588235294118, 'f1-score': 0.5, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.6835443037974683, 'recall': 0.6835443037974683, 'f1-score': 0.6835443037974683, 'support': 79}, 'macro avg': {'precision': 0.615925925925926, 'recall': 0.504208512673362, 'f1-score': 0.49350649350649356, 'support': 79}, 'weighted avg': {'precision': 0.7243084857008907, 'recall': 0.6835443037974683, 'f1-score': 0.6730231793522932, 'support': 79}}",0.7638632,300,100,64,100,0.001,0.6,0.6
