,Fold,accuracy,other_metrics,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_cvae,learning_rate,dropout_input,dropout_hidden,dropout_decoder,freeze_weights,classifier_use_z,classifier_loss,reconstruction_loss
0,1,0.8690476417541504,"{'Basal': {'precision': 0.9333333333333333, 'recall': 1.0, 'f1-score': 0.9655172413793104, 'support': 14}, 'Her2': {'precision': 0.5555555555555556, 'recall': 0.7142857142857143, 'f1-score': 0.6250000000000001, 'support': 7}, 'LumA': {'precision': 0.9523809523809523, 'recall': 0.9523809523809523, 'f1-score': 0.9523809523809523, 'support': 42}, 'LumB': {'precision': 0.7647058823529411, 'recall': 0.7222222222222222, 'f1-score': 0.7428571428571428, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.3333333333333333, 'f1-score': 0.5, 'support': 3}, 'micro avg': {'precision': 0.8690476190476191, 'recall': 0.8690476190476191, 'f1-score': 0.8690476190476191, 'support': 84}, 'macro avg': {'precision': 0.8411951447245565, 'recall': 0.7444444444444446, 'f1-score': 0.7571510673234811, 'support': 84}, 'weighted avg': {'precision': 0.8776221599751011, 'recall': 0.8690476190476191, 'f1-score': 0.8662341660802252, 'support': 84}}",0.85775346,300,100,64,100,0.001,0.2,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
1,2,0.8571428656578064,"{'Basal': {'precision': 1.0, 'recall': 0.9285714285714286, 'f1-score': 0.962962962962963, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.5714285714285714, 'f1-score': 0.7272727272727273, 'support': 7}, 'LumA': {'precision': 0.9047619047619048, 'recall': 0.9047619047619048, 'f1-score': 0.9047619047619048, 'support': 42}, 'LumB': {'precision': 0.6956521739130435, 'recall': 0.8888888888888888, 'f1-score': 0.7804878048780488, 'support': 18}, 'Normal': {'precision': 0.5, 'recall': 0.3333333333333333, 'f1-score': 0.4, 'support': 3}, 'micro avg': {'precision': 0.8571428571428571, 'recall': 0.8571428571428571, 'f1-score': 0.8571428571428571, 'support': 84}, 'macro avg': {'precision': 0.8200828157349896, 'recall': 0.7253968253968254, 'f1-score': 0.7550970799751288, 'support': 84}, 'weighted avg': {'precision': 0.8693064182194616, 'recall': 0.8571428571428571, 'f1-score': 0.855013941192803, 'support': 84}}",0.85775346,300,100,64,100,0.001,0.2,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
2,3,0.9166666865348816,"{'Basal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 14}, 'Her2': {'precision': 0.875, 'recall': 1.0, 'f1-score': 0.9333333333333333, 'support': 7}, 'LumA': {'precision': 0.9090909090909091, 'recall': 0.9523809523809523, 'f1-score': 0.9302325581395349, 'support': 42}, 'LumB': {'precision': 0.875, 'recall': 0.7777777777777778, 'f1-score': 0.823529411764706, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.6666666666666666, 'f1-score': 0.8, 'support': 3}, 'micro avg': {'precision': 0.9166666666666666, 'recall': 0.9166666666666666, 'f1-score': 0.9166666666666666, 'support': 84}, 'macro avg': {'precision': 0.9318181818181819, 'recall': 0.8793650793650795, 'f1-score': 0.897419060647515, 'support': 84}, 'weighted avg': {'precision': 0.9173430735930737, 'recall': 0.9166666666666666, 'f1-score': 0.9146027403209347, 'support': 84}}",0.85775346,300,100,64,100,0.001,0.2,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
3,4,0.8452380895614624,"{'Basal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 14}, 'Her2': {'precision': 0.8, 'recall': 0.5714285714285714, 'f1-score': 0.6666666666666666, 'support': 7}, 'LumA': {'precision': 0.8604651162790697, 'recall': 0.8809523809523809, 'f1-score': 0.8705882352941177, 'support': 42}, 'LumB': {'precision': 0.7, 'recall': 0.7777777777777778, 'f1-score': 0.7368421052631577, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.6666666666666666, 'f1-score': 0.8, 'support': 3}, 'micro avg': {'precision': 0.8452380952380952, 'recall': 0.8452380952380952, 'f1-score': 0.8452380952380952, 'support': 84}, 'macro avg': {'precision': 0.872093023255814, 'recall': 0.7793650793650794, 'f1-score': 0.8148194014447883, 'support': 84}, 'weighted avg': {'precision': 0.8492801771871539, 'recall': 0.8452380952380952, 'f1-score': 0.8439825052828149, 'support': 84}}",0.85775346,300,100,64,100,0.001,0.2,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
4,5,0.8214285969734192,"{'Basal': {'precision': 0.9333333333333333, 'recall': 1.0, 'f1-score': 0.9655172413793104, 'support': 14}, 'Her2': {'precision': 0.5, 'recall': 0.5714285714285714, 'f1-score': 0.5333333333333333, 'support': 7}, 'LumA': {'precision': 0.8163265306122449, 'recall': 0.9523809523809523, 'f1-score': 0.8791208791208791, 'support': 42}, 'LumB': {'precision': 0.9090909090909091, 'recall': 0.5555555555555556, 'f1-score': 0.6896551724137931, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.3333333333333333, 'f1-score': 0.5, 'support': 3}, 'micro avg': {'precision': 0.8214285714285714, 'recall': 0.8214285714285714, 'f1-score': 0.8214285714285714, 'support': 84}, 'macro avg': {'precision': 0.8317501546072975, 'recall': 0.6825396825396826, 'f1-score': 0.7135253252494632, 'support': 84}, 'weighted avg': {'precision': 0.8359049680478252, 'recall': 0.8214285714285714, 'f1-score': 0.8105648183234392, 'support': 84}}",0.85775346,300,100,64,100,0.001,0.2,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
5,6,0.9135802388191223,"{'Basal': {'precision': 0.9333333333333333, 'recall': 1.0, 'f1-score': 0.9655172413793104, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.8333333333333334, 'f1-score': 0.9090909090909091, 'support': 6}, 'LumA': {'precision': 0.8913043478260869, 'recall': 1.0, 'f1-score': 0.9425287356321839, 'support': 41}, 'LumB': {'precision': 0.9333333333333333, 'recall': 0.7777777777777778, 'f1-score': 0.8484848484848485, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.9135802469135802, 'recall': 0.9135802469135802, 'f1-score': 0.9135802469135802, 'support': 81}, 'macro avg': {'precision': 0.7515942028985508, 'recall': 0.7222222222222222, 'f1-score': 0.7331243469174504, 'support': 81}, 'weighted avg': {'precision': 0.8939524065127928, 'recall': 0.9135802469135802, 'f1-score': 0.8998542255247235, 'support': 81}}",0.85775346,300,100,64,100,0.001,0.2,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
6,7,0.797468364238739,"{'Basal': {'precision': 1.0, 'recall': 0.7692307692307693, 'f1-score': 0.8695652173913044, 'support': 13}, 'Her2': {'precision': 0.5555555555555556, 'recall': 0.8333333333333334, 'f1-score': 0.6666666666666667, 'support': 6}, 'LumA': {'precision': 0.8125, 'recall': 0.9512195121951219, 'f1-score': 0.8764044943820225, 'support': 41}, 'LumB': {'precision': 0.75, 'recall': 0.5294117647058824, 'f1-score': 0.6206896551724139, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.7974683544303798, 'recall': 0.7974683544303798, 'f1-score': 0.7974683544303798, 'support': 79}, 'macro avg': {'precision': 0.6236111111111111, 'recall': 0.6166390758930214, 'f1-score': 0.6066652067224816, 'support': 79}, 'weighted avg': {'precision': 0.7898206751054851, 'recall': 0.7974683544303798, 'f1-score': 0.7821348890339357, 'support': 79}}",0.85775346,300,100,64,100,0.001,0.2,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
7,8,0.7848101258277893,"{'Basal': {'precision': 0.9230769230769231, 'recall': 0.9230769230769231, 'f1-score': 0.9230769230769231, 'support': 13}, 'Her2': {'precision': 0.75, 'recall': 0.5, 'f1-score': 0.6, 'support': 6}, 'LumA': {'precision': 0.8717948717948718, 'recall': 0.8292682926829268, 'f1-score': 0.8500000000000001, 'support': 41}, 'LumB': {'precision': 0.5652173913043478, 'recall': 0.7647058823529411, 'f1-score': 0.65, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.7848101265822784, 'recall': 0.7848101265822784, 'f1-score': 0.7848101265822784, 'support': 79}, 'macro avg': {'precision': 0.6220178372352285, 'recall': 0.6034102196225583, 'f1-score': 0.6046153846153846, 'support': 79}, 'weighted avg': {'precision': 0.7829403214653627, 'recall': 0.7848101265822784, 'f1-score': 0.7784810126582279, 'support': 79}}",0.85775346,300,100,64,100,0.001,0.2,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
8,9,0.8860759735107422,"{'Basal': {'precision': 1.0, 'recall': 0.9230769230769231, 'f1-score': 0.9600000000000001, 'support': 13}, 'Her2': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 6}, 'LumA': {'precision': 0.8636363636363636, 'recall': 0.926829268292683, 'f1-score': 0.8941176470588236, 'support': 41}, 'LumB': {'precision': 0.8125, 'recall': 0.7647058823529411, 'f1-score': 0.787878787878788, 'support': 17}, 'Normal': {'precision': 1.0, 'recall': 0.5, 'f1-score': 0.6666666666666666, 'support': 2}, 'micro avg': {'precision': 0.8860759493670886, 'recall': 0.8860759493670886, 'f1-score': 0.8860759493670886, 'support': 79}, 'macro avg': {'precision': 0.9352272727272727, 'recall': 0.8229224147445094, 'f1-score': 0.8617326203208556, 'support': 79}, 'weighted avg': {'precision': 0.8888808975834291, 'recall': 0.8860759493670886, 'f1-score': 0.8843809652744872, 'support': 79}}",0.85775346,300,100,64,100,0.001,0.2,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
9,10,0.8860759735107422,"{'Basal': {'precision': 0.9285714285714286, 'recall': 1.0, 'f1-score': 0.962962962962963, 'support': 13}, 'Her2': {'precision': 0.8333333333333334, 'recall': 0.8333333333333334, 'f1-score': 0.8333333333333334, 'support': 6}, 'LumA': {'precision': 0.8723404255319149, 'recall': 1.0, 'f1-score': 0.9318181818181819, 'support': 41}, 'LumB': {'precision': 0.9166666666666666, 'recall': 0.6470588235294118, 'f1-score': 0.7586206896551724, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.8860759493670886, 'recall': 0.8860759493670886, 'f1-score': 0.8860759493670886, 'support': 79}, 'macro avg': {'precision': 0.7101823708206687, 'recall': 0.696078431372549, 'f1-score': 0.6973470335539302, 'support': 79}, 'weighted avg': {'precision': 0.8660850550831698, 'recall': 0.8860759493670886, 'f1-score': 0.868602730344328, 'support': 79}}",0.85775346,300,100,64,100,0.001,0.2,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
