,Fold,accuracy,other_metrics,mean_accuracy,hidden_1,hidden_2,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden
0,1,0.8690476417541504,"{'Basal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 14}, 'Her2': {'precision': 0.8, 'recall': 0.5714285714285714, 'f1-score': 0.6666666666666666, 'support': 7}, 'LumA': {'precision': 0.9069767441860465, 'recall': 0.9285714285714286, 'f1-score': 0.9176470588235294, 'support': 42}, 'LumB': {'precision': 0.7142857142857143, 'recall': 0.8333333333333334, 'f1-score': 0.7692307692307692, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.3333333333333333, 'f1-score': 0.5, 'support': 3}, 'micro avg': {'precision': 0.8690476190476191, 'recall': 0.8690476190476191, 'f1-score': 0.8690476190476191, 'support': 84}, 'macro avg': {'precision': 0.8842524916943522, 'recall': 0.7333333333333334, 'f1-score': 0.770708898944193, 'support': 84}, 'weighted avg': {'precision': 0.8755972156304382, 'recall': 0.8690476190476191, 'f1-score': 0.8637380593262944, 'support': 84}}",0.8588201,300,100,64,100,0.001,0.6,0.6
1,2,0.8690476417541504,"{'Basal': {'precision': 1.0, 'recall': 0.9285714285714286, 'f1-score': 0.962962962962963, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.5714285714285714, 'f1-score': 0.7272727272727273, 'support': 7}, 'LumA': {'precision': 0.8863636363636364, 'recall': 0.9285714285714286, 'f1-score': 0.9069767441860465, 'support': 42}, 'LumB': {'precision': 0.7727272727272727, 'recall': 0.9444444444444444, 'f1-score': 0.85, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.8690476190476191, 'recall': 0.8690476190476191, 'f1-score': 0.8690476190476191, 'support': 84}, 'macro avg': {'precision': 0.7318181818181818, 'recall': 0.6746031746031746, 'f1-score': 0.6894424868843474, 'support': 84}, 'weighted avg': {'precision': 0.8587662337662338, 'recall': 0.8690476190476191, 'f1-score': 0.8567311170024349, 'support': 84}}",0.8588201,300,100,64,100,0.001,0.6,0.6
2,3,0.8809523582458496,"{'Basal': {'precision': 1.0, 'recall': 0.9285714285714286, 'f1-score': 0.962962962962963, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 7}, 'LumA': {'precision': 0.851063829787234, 'recall': 0.9523809523809523, 'f1-score': 0.898876404494382, 'support': 42}, 'LumB': {'precision': 0.8571428571428571, 'recall': 0.6666666666666666, 'f1-score': 0.75, 'support': 18}, 'Normal': {'precision': 0.6666666666666666, 'recall': 0.6666666666666666, 'f1-score': 0.6666666666666666, 'support': 3}, 'micro avg': {'precision': 0.8809523809523809, 'recall': 0.8809523809523809, 'f1-score': 0.8809523809523809, 'support': 84}, 'macro avg': {'precision': 0.8749746707193516, 'recall': 0.8428571428571429, 'f1-score': 0.8557012068248024, 'support': 84}, 'weighted avg': {'precision': 0.883014908090896, 'recall': 0.8809523809523809, 'f1-score': 0.8777891722648277, 'support': 84}}",0.8588201,300,100,64,100,0.001,0.6,0.6
3,4,0.8214285969734192,"{'Basal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 14}, 'Her2': {'precision': 0.6666666666666666, 'recall': 0.5714285714285714, 'f1-score': 0.6153846153846153, 'support': 7}, 'LumA': {'precision': 0.8409090909090909, 'recall': 0.8809523809523809, 'f1-score': 0.8604651162790699, 'support': 42}, 'LumB': {'precision': 0.6666666666666666, 'recall': 0.6666666666666666, 'f1-score': 0.6666666666666666, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.6666666666666666, 'f1-score': 0.8, 'support': 3}, 'micro avg': {'precision': 0.8214285714285714, 'recall': 0.8214285714285714, 'f1-score': 0.8214285714285714, 'support': 84}, 'macro avg': {'precision': 0.8348484848484847, 'recall': 0.7571428571428571, 'f1-score': 0.7885032796660705, 'support': 84}, 'weighted avg': {'precision': 0.8212481962481962, 'recall': 0.8214285714285714, 'f1-score': 0.8196098475168244, 'support': 84}}",0.8588201,300,100,64,100,0.001,0.6,0.6
4,5,0.8809523582458496,"{'Basal': {'precision': 0.9333333333333333, 'recall': 1.0, 'f1-score': 0.9655172413793104, 'support': 14}, 'Her2': {'precision': 0.625, 'recall': 0.7142857142857143, 'f1-score': 0.6666666666666666, 'support': 7}, 'LumA': {'precision': 0.8695652173913043, 'recall': 0.9523809523809523, 'f1-score': 0.909090909090909, 'support': 42}, 'LumB': {'precision': 1.0, 'recall': 0.7222222222222222, 'f1-score': 0.8387096774193548, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.6666666666666666, 'f1-score': 0.8, 'support': 3}, 'micro avg': {'precision': 0.8809523809523809, 'recall': 0.8809523809523809, 'f1-score': 0.8809523809523809, 'support': 84}, 'macro avg': {'precision': 0.8855797101449276, 'recall': 0.8111111111111112, 'f1-score': 0.8359968989112481, 'support': 84}, 'weighted avg': {'precision': 0.892421497584541, 'recall': 0.8809523809523809, 'f1-score': 0.8793154812064712, 'support': 84}}",0.8588201,300,100,64,100,0.001,0.6,0.6
5,6,0.925000011920929,"{'Basal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 13}, 'Her2': {'precision': 0.8333333333333334, 'recall': 0.8333333333333334, 'f1-score': 0.8333333333333334, 'support': 6}, 'LumA': {'precision': 0.9111111111111111, 'recall': 1.0, 'f1-score': 0.9534883720930233, 'support': 41}, 'LumB': {'precision': 0.9375, 'recall': 0.8333333333333334, 'f1-score': 0.8823529411764706, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.925, 'recall': 0.925, 'f1-score': 0.925, 'support': 80}, 'macro avg': {'precision': 0.7363888888888889, 'recall': 0.7333333333333334, 'f1-score': 0.7338349293205655, 'support': 80}, 'weighted avg': {'precision': 0.9028819444444445, 'recall': 0.925, 'f1-score': 0.9121922024623803, 'support': 80}}",0.8588201,300,100,64,100,0.001,0.6,0.6
6,7,0.7848101258277893,"{'Basal': {'precision': 1.0, 'recall': 0.7692307692307693, 'f1-score': 0.8695652173913044, 'support': 13}, 'Her2': {'precision': 0.6, 'recall': 1.0, 'f1-score': 0.7499999999999999, 'support': 6}, 'LumA': {'precision': 0.85, 'recall': 0.8292682926829268, 'f1-score': 0.8395061728395061, 'support': 41}, 'LumB': {'precision': 0.5882352941176471, 'recall': 0.5882352941176471, 'f1-score': 0.5882352941176471, 'support': 17}, 'Normal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 2}, 'micro avg': {'precision': 0.7848101265822784, 'recall': 0.7848101265822784, 'f1-score': 0.7848101265822784, 'support': 79}, 'macro avg': {'precision': 0.8076470588235296, 'recall': 0.8373468712062685, 'f1-score': 0.8094613368696916, 'support': 79}, 'weighted avg': {'precision': 0.8031645569620254, 'recall': 0.7848101265822784, 'f1-score': 0.7876468469937559, 'support': 79}}",0.8588201,300,100,64,100,0.001,0.6,0.6
7,8,0.8481012582778931,"{'Basal': {'precision': 0.9285714285714286, 'recall': 1.0, 'f1-score': 0.962962962962963, 'support': 13}, 'Her2': {'precision': 1.0, 'recall': 0.6666666666666666, 'f1-score': 0.8, 'support': 6}, 'LumA': {'precision': 0.8809523809523809, 'recall': 0.9024390243902439, 'f1-score': 0.8915662650602411, 'support': 41}, 'LumB': {'precision': 0.6842105263157895, 'recall': 0.7647058823529411, 'f1-score': 0.7222222222222222, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.8481012658227848, 'recall': 0.8481012658227848, 'f1-score': 0.8481012658227848, 'support': 79}, 'macro avg': {'precision': 0.6987468671679198, 'recall': 0.6667623146819703, 'f1-score': 0.6753502900490853, 'support': 79}, 'weighted avg': {'precision': 0.8331905713651218, 'recall': 0.8481012658227848, 'f1-score': 0.8373482678957744, 'support': 79}}",0.8588201,300,100,64,100,0.001,0.6,0.6
8,9,0.8481012582778931,"{'Basal': {'precision': 0.8571428571428571, 'recall': 0.9230769230769231, 'f1-score': 0.888888888888889, 'support': 13}, 'Her2': {'precision': 1.0, 'recall': 0.8333333333333334, 'f1-score': 0.9090909090909091, 'support': 6}, 'LumA': {'precision': 0.8780487804878049, 'recall': 0.8780487804878049, 'f1-score': 0.8780487804878049, 'support': 41}, 'LumB': {'precision': 0.7222222222222222, 'recall': 0.7647058823529411, 'f1-score': 0.7428571428571428, 'support': 17}, 'Normal': {'precision': 1.0, 'recall': 0.5, 'f1-score': 0.6666666666666666, 'support': 2}, 'micro avg': {'precision': 0.8481012658227848, 'recall': 0.8481012658227848, 'f1-score': 0.8481012658227848, 'support': 79}, 'macro avg': {'precision': 0.8914827719705769, 'recall': 0.7798329838502005, 'f1-score': 0.8171104775982825, 'support': 79}, 'weighted avg': {'precision': 0.8534257584890494, 'recall': 0.8481012658227848, 'f1-score': 0.8477469085064022, 'support': 79}}",0.8588201,300,100,64,100,0.001,0.6,0.6
9,10,0.8607594966888428,"{'Basal': {'precision': 0.9285714285714286, 'recall': 1.0, 'f1-score': 0.962962962962963, 'support': 13}, 'Her2': {'precision': 0.8333333333333334, 'recall': 0.8333333333333334, 'f1-score': 0.8333333333333334, 'support': 6}, 'LumA': {'precision': 0.8837209302325582, 'recall': 0.926829268292683, 'f1-score': 0.9047619047619047, 'support': 41}, 'LumB': {'precision': 0.8571428571428571, 'recall': 0.7058823529411765, 'f1-score': 0.7741935483870968, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.8607594936708861, 'recall': 0.8607594936708861, 'f1-score': 0.8607594936708861, 'support': 79}, 'macro avg': {'precision': 0.7005537098560354, 'recall': 0.6932089909134386, 'f1-score': 0.6950503498890596, 'support': 79}, 'weighted avg': {'precision': 0.859182471929013, 'recall': 0.8607594936708861, 'f1-score': 0.8579119865359145, 'support': 79}}",0.8588201,300,100,64,100,0.001,0.6,0.6
