,Fold,accuracy,other_metrics,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden,dropout_decoder,freeze_weights,classifier_use_z,classifier_loss,reconstruction_loss
0,1,0.8690476417541504,"{'Basal': {'precision': 0.9333333333333333, 'recall': 1.0, 'f1-score': 0.9655172413793104, 'support': 14}, 'Her2': {'precision': 0.625, 'recall': 0.7142857142857143, 'f1-score': 0.6666666666666666, 'support': 7}, 'LumA': {'precision': 0.9523809523809523, 'recall': 0.9523809523809523, 'f1-score': 0.9523809523809523, 'support': 42}, 'LumB': {'precision': 0.7222222222222222, 'recall': 0.7222222222222222, 'f1-score': 0.7222222222222222, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.3333333333333333, 'f1-score': 0.5, 'support': 3}, 'micro avg': {'precision': 0.8690476190476191, 'recall': 0.8690476190476191, 'f1-score': 0.8690476190476191, 'support': 84}, 'macro avg': {'precision': 0.8465873015873016, 'recall': 0.7444444444444446, 'f1-score': 0.7613574165298302, 'support': 84}, 'weighted avg': {'precision': 0.8743055555555556, 'recall': 0.8690476190476191, 'f1-score': 0.8652846195949644, 'support': 84}}",0.8287137,100,20,256,100,0.01,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
1,2,0.8690476417541504,"{'Basal': {'precision': 0.9333333333333333, 'recall': 1.0, 'f1-score': 0.9655172413793104, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.2857142857142857, 'f1-score': 0.4444444444444445, 'support': 7}, 'LumA': {'precision': 0.95, 'recall': 0.9047619047619048, 'f1-score': 0.9268292682926829, 'support': 42}, 'LumB': {'precision': 0.6923076923076923, 'recall': 1.0, 'f1-score': 0.8181818181818181, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.3333333333333333, 'f1-score': 0.5, 'support': 3}, 'micro avg': {'precision': 0.8690476190476191, 'recall': 0.8690476190476191, 'f1-score': 0.8690476190476191, 'support': 84}, 'macro avg': {'precision': 0.915128205128205, 'recall': 0.7047619047619047, 'f1-score': 0.7309945544596512, 'support': 84}, 'weighted avg': {'precision': 0.8979548229548231, 'recall': 0.8690476190476191, 'f1-score': 0.8545530295950817, 'support': 84}}",0.8287137,100,20,256,100,0.01,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
2,3,0.8928571343421936,"{'Basal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 14}, 'Her2': {'precision': 0.8571428571428571, 'recall': 0.8571428571428571, 'f1-score': 0.8571428571428571, 'support': 7}, 'LumA': {'precision': 0.9069767441860465, 'recall': 0.9285714285714286, 'f1-score': 0.9176470588235294, 'support': 42}, 'LumB': {'precision': 0.7777777777777778, 'recall': 0.7777777777777778, 'f1-score': 0.7777777777777778, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.6666666666666666, 'f1-score': 0.8, 'support': 3}, 'micro avg': {'precision': 0.8928571428571429, 'recall': 0.8928571428571429, 'f1-score': 0.8928571428571429, 'support': 84}, 'macro avg': {'precision': 0.9083794758213362, 'recall': 0.846031746031746, 'f1-score': 0.8705135387488327, 'support': 84}, 'weighted avg': {'precision': 0.8939645625692139, 'recall': 0.8928571428571429, 'f1-score': 0.892156862745098, 'support': 84}}",0.8287137,100,20,256,100,0.01,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
3,4,0.761904776096344,"{'Basal': {'precision': 0.9333333333333333, 'recall': 1.0, 'f1-score': 0.9655172413793104, 'support': 14}, 'Her2': {'precision': 0.75, 'recall': 0.42857142857142855, 'f1-score': 0.5454545454545454, 'support': 7}, 'LumA': {'precision': 0.7777777777777778, 'recall': 0.8333333333333334, 'f1-score': 0.8045977011494253, 'support': 42}, 'LumB': {'precision': 0.5789473684210527, 'recall': 0.6111111111111112, 'f1-score': 0.5945945945945946, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.3333333333333333, 'f1-score': 0.5, 'support': 3}, 'micro avg': {'precision': 0.7619047619047619, 'recall': 0.7619047619047619, 'f1-score': 0.7619047619047619, 'support': 84}, 'macro avg': {'precision': 0.8080116959064327, 'recall': 0.6412698412698413, 'f1-score': 0.6820328165155752, 'support': 84}, 'weighted avg': {'precision': 0.76671888053467, 'recall': 0.7619047619047619, 'f1-score': 0.7539432065294134, 'support': 84}}",0.8287137,100,20,256,100,0.01,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
4,5,0.5,"{'Basal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 14}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7}, 'LumA': {'precision': 0.5, 'recall': 1.0, 'f1-score': 0.6666666666666666, 'support': 42}, 'LumB': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.5, 'support': 84}, 'macro avg': {'precision': 0.1, 'recall': 0.2, 'f1-score': 0.13333333333333333, 'support': 84}, 'weighted avg': {'precision': 0.25, 'recall': 0.5, 'f1-score': 0.3333333333333333, 'support': 84}}",0.8287137,100,20,256,100,0.01,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
5,6,0.9259259104728699,"{'Basal': {'precision': 0.9333333333333333, 'recall': 1.0, 'f1-score': 0.9655172413793104, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.8333333333333334, 'f1-score': 0.9090909090909091, 'support': 6}, 'LumA': {'precision': 0.9512195121951219, 'recall': 0.9512195121951219, 'f1-score': 0.9512195121951219, 'support': 41}, 'LumB': {'precision': 0.8421052631578947, 'recall': 0.8888888888888888, 'f1-score': 0.8648648648648649, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.5, 'f1-score': 0.6666666666666666, 'support': 2}, 'micro avg': {'precision': 0.9259259259259259, 'recall': 0.9259259259259259, 'f1-score': 0.9259259259259259, 'support': 81}, 'macro avg': {'precision': 0.94533162173727, 'recall': 0.8346883468834688, 'f1-score': 0.8714718388393747, 'support': 81}, 'weighted avg': {'precision': 0.9286982889322071, 'recall': 0.9259259259259259, 'f1-score': 0.9243541695648975, 'support': 81}}",0.8287137,100,20,256,100,0.01,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
6,7,0.8227847814559937,"{'Basal': {'precision': 1.0, 'recall': 0.8461538461538461, 'f1-score': 0.9166666666666666, 'support': 13}, 'Her2': {'precision': 0.6666666666666666, 'recall': 1.0, 'f1-score': 0.8, 'support': 6}, 'LumA': {'precision': 0.8947368421052632, 'recall': 0.8292682926829268, 'f1-score': 0.860759493670886, 'support': 41}, 'LumB': {'precision': 0.6666666666666666, 'recall': 0.7058823529411765, 'f1-score': 0.6857142857142857, 'support': 17}, 'Normal': {'precision': 0.6666666666666666, 'recall': 1.0, 'f1-score': 0.8, 'support': 2}, 'micro avg': {'precision': 0.8227848101265823, 'recall': 0.8227848101265823, 'f1-score': 0.8227848101265823, 'support': 79}, 'macro avg': {'precision': 0.7789473684210526, 'recall': 0.87626089835559, 'f1-score': 0.8126280892103678, 'support': 79}, 'weighted avg': {'precision': 0.8398845214301576, 'recall': 0.8227848101265823, 'f1-score': 0.8261385919533651, 'support': 79}}",0.8287137,100,20,256,100,0.01,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
7,8,0.8481012582778931,"{'Basal': {'precision': 0.9285714285714286, 'recall': 1.0, 'f1-score': 0.962962962962963, 'support': 13}, 'Her2': {'precision': 1.0, 'recall': 0.8333333333333334, 'f1-score': 0.9090909090909091, 'support': 6}, 'LumA': {'precision': 0.8780487804878049, 'recall': 0.8780487804878049, 'f1-score': 0.8780487804878049, 'support': 41}, 'LumB': {'precision': 0.6842105263157895, 'recall': 0.7647058823529411, 'f1-score': 0.7222222222222222, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.8481012658227848, 'recall': 0.8481012658227848, 'f1-score': 0.8481012658227848, 'support': 79}, 'macro avg': {'precision': 0.6981661470750046, 'recall': 0.6952175992348159, 'f1-score': 0.6944649749527798, 'support': 79}, 'weighted avg': {'precision': 0.8316836394784429, 'recall': 0.8481012658227848, 'f1-score': 0.8386182500106549, 'support': 79}}",0.8287137,100,20,256,100,0.01,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
8,9,0.8734177350997925,"{'Basal': {'precision': 1.0, 'recall': 0.9230769230769231, 'f1-score': 0.9600000000000001, 'support': 13}, 'Her2': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 6}, 'LumA': {'precision': 0.8974358974358975, 'recall': 0.8536585365853658, 'f1-score': 0.875, 'support': 41}, 'LumB': {'precision': 0.7142857142857143, 'recall': 0.8823529411764706, 'f1-score': 0.7894736842105262, 'support': 17}, 'Normal': {'precision': 1.0, 'recall': 0.5, 'f1-score': 0.6666666666666666, 'support': 2}, 'micro avg': {'precision': 0.8734177215189873, 'recall': 0.8734177215189873, 'f1-score': 0.8734177215189873, 'support': 79}, 'macro avg': {'precision': 0.9223443223443223, 'recall': 0.831817680167752, 'f1-score': 0.8582280701754386, 'support': 79}, 'weighted avg': {'precision': 0.8852877080725181, 'recall': 0.8734177215189873, 'f1-score': 0.8748023539862314, 'support': 79}}",0.8287137,100,20,256,100,0.01,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
9,10,0.9240506291389465,"{'Basal': {'precision': 0.9285714285714286, 'recall': 1.0, 'f1-score': 0.962962962962963, 'support': 13}, 'Her2': {'precision': 0.8571428571428571, 'recall': 1.0, 'f1-score': 0.923076923076923, 'support': 6}, 'LumA': {'precision': 0.9302325581395349, 'recall': 0.975609756097561, 'f1-score': 0.9523809523809524, 'support': 41}, 'LumB': {'precision': 1.0, 'recall': 0.8235294117647058, 'f1-score': 0.9032258064516129, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.9240506329113924, 'recall': 0.9240506329113924, 'f1-score': 0.9240506329113924, 'support': 79}, 'macro avg': {'precision': 0.743189368770764, 'recall': 0.7598278335724533, 'f1-score': 0.7483293289744903, 'support': 79}, 'weighted avg': {'precision': 0.9158711468102108, 'recall': 0.9240506329113924, 'f1-score': 0.917208073598437, 'support': 79}}",0.8287137,100,20,256,100,0.01,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
