,Fold,accuracy,other_metrics,mean_accuracy,hidden_1,hidden_2,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden
0,1,0.75,"{'Basal': {'precision': 0.7058823529411765, 'recall': 0.8571428571428571, 'f1-score': 0.7741935483870968, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.42857142857142855, 'f1-score': 0.6, 'support': 7}, 'LumA': {'precision': 0.8222222222222222, 'recall': 0.8809523809523809, 'f1-score': 0.8505747126436781, 'support': 42}, 'LumB': {'precision': 0.5882352941176471, 'recall': 0.5555555555555556, 'f1-score': 0.5714285714285715, 'support': 18}, 'Normal': {'precision': 0.5, 'recall': 0.3333333333333333, 'f1-score': 0.4, 'support': 3}, 'micro avg': {'precision': 0.75, 'recall': 0.75, 'f1-score': 0.75, 'support': 84}, 'macro avg': {'precision': 0.7232679738562091, 'recall': 0.6111111111111112, 'f1-score': 0.6392393664918693, 'support': 84}, 'weighted avg': {'precision': 0.7559990662931839, 'recall': 0.75, 'f1-score': 0.7410543082639063, 'support': 84}}",0.7190483,100,20,64,100,0.01,0,0.4
1,2,0.8214285969734192,"{'Basal': {'precision': 0.8235294117647058, 'recall': 1.0, 'f1-score': 0.9032258064516129, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.2857142857142857, 'f1-score': 0.4444444444444445, 'support': 7}, 'LumA': {'precision': 0.8837209302325582, 'recall': 0.9047619047619048, 'f1-score': 0.8941176470588236, 'support': 42}, 'LumB': {'precision': 0.7, 'recall': 0.7777777777777778, 'f1-score': 0.7368421052631577, 'support': 18}, 'Normal': {'precision': 0.5, 'recall': 0.3333333333333333, 'f1-score': 0.4, 'support': 3}, 'micro avg': {'precision': 0.8214285714285714, 'recall': 0.8214285714285714, 'f1-score': 0.8214285714285714, 'support': 84}, 'macro avg': {'precision': 0.7814500683994527, 'recall': 0.6603174603174603, 'f1-score': 0.6757260006436078, 'support': 84}, 'weighted avg': {'precision': 0.8303058432675395, 'recall': 0.8214285714285714, 'f1-score': 0.8068139461028705, 'support': 84}}",0.7190483,100,20,64,100,0.01,0,0.4
2,3,0.75,"{'Basal': {'precision': 0.8666666666666667, 'recall': 0.9285714285714286, 'f1-score': 0.896551724137931, 'support': 14}, 'Her2': {'precision': 0.5384615384615384, 'recall': 1.0, 'f1-score': 0.7000000000000001, 'support': 7}, 'LumA': {'precision': 0.8222222222222222, 'recall': 0.8809523809523809, 'f1-score': 0.8505747126436781, 'support': 42}, 'LumB': {'precision': 0.6666666666666666, 'recall': 0.3333333333333333, 'f1-score': 0.4444444444444444, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.75, 'recall': 0.75, 'f1-score': 0.75, 'support': 84}, 'macro avg': {'precision': 0.5788034188034188, 'recall': 0.6285714285714286, 'f1-score': 0.5783141762452108, 'support': 84}, 'weighted avg': {'precision': 0.7432844932844932, 'recall': 0.75, 'f1-score': 0.7282840722495896, 'support': 84}}",0.7190483,100,20,64,100,0.01,0,0.4
3,4,0.7023809552192688,"{'Basal': {'precision': 0.8125, 'recall': 0.9285714285714286, 'f1-score': 0.8666666666666666, 'support': 14}, 'Her2': {'precision': 0.5, 'recall': 0.42857142857142855, 'f1-score': 0.4615384615384615, 'support': 7}, 'LumA': {'precision': 0.7619047619047619, 'recall': 0.7619047619047619, 'f1-score': 0.7619047619047619, 'support': 42}, 'LumB': {'precision': 0.5625, 'recall': 0.5, 'f1-score': 0.5294117647058824, 'support': 18}, 'Normal': {'precision': 0.5, 'recall': 0.6666666666666666, 'f1-score': 0.5714285714285715, 'support': 3}, 'micro avg': {'precision': 0.7023809523809523, 'recall': 0.7023809523809523, 'f1-score': 0.7023809523809523, 'support': 84}, 'macro avg': {'precision': 0.6273809523809524, 'recall': 0.6571428571428571, 'f1-score': 0.6381900452488687, 'support': 84}, 'weighted avg': {'precision': 0.6964285714285714, 'recall': 0.7023809523809523, 'f1-score': 0.6977119052749305, 'support': 84}}",0.7190483,100,20,64,100,0.01,0,0.4
4,5,0.6190476417541504,"{'Basal': {'precision': 0.8, 'recall': 0.8571428571428571, 'f1-score': 0.8275862068965518, 'support': 14}, 'Her2': {'precision': 0.2857142857142857, 'recall': 0.8571428571428571, 'f1-score': 0.42857142857142855, 'support': 7}, 'LumA': {'precision': 0.8387096774193549, 'recall': 0.6190476190476191, 'f1-score': 0.7123287671232876, 'support': 42}, 'LumB': {'precision': 0.8333333333333334, 'recall': 0.2777777777777778, 'f1-score': 0.4166666666666667, 'support': 18}, 'Normal': {'precision': 0.2727272727272727, 'recall': 1.0, 'f1-score': 0.42857142857142855, 'support': 3}, 'micro avg': {'precision': 0.6190476190476191, 'recall': 0.6190476190476191, 'f1-score': 0.6190476190476191, 'support': 84}, 'macro avg': {'precision': 0.6060969138388493, 'recall': 0.7222222222222221, 'f1-score': 0.5627448995658726, 'support': 84}, 'weighted avg': {'precision': 0.764809384164223, 'recall': 0.6190476190476191, 'f1-score': 0.634401540493382, 'support': 84}}",0.7190483,100,20,64,100,0.01,0,0.4
5,6,0.737500011920929,"{'Basal': {'precision': 0.5714285714285714, 'recall': 0.9230769230769231, 'f1-score': 0.7058823529411765, 'support': 13}, 'Her2': {'precision': 1.0, 'recall': 0.16666666666666666, 'f1-score': 0.2857142857142857, 'support': 6}, 'LumA': {'precision': 0.8974358974358975, 'recall': 0.8536585365853658, 'f1-score': 0.875, 'support': 41}, 'LumB': {'precision': 0.8181818181818182, 'recall': 0.5, 'f1-score': 0.6206896551724137, 'support': 18}, 'Normal': {'precision': 0.25, 'recall': 1.0, 'f1-score': 0.4, 'support': 2}, 'micro avg': {'precision': 0.7375, 'recall': 0.7375, 'f1-score': 0.7375, 'support': 80}, 'macro avg': {'precision': 0.7074092574092574, 'recall': 0.6886804252657911, 'f1-score': 0.5774572587655752, 'support': 80}, 'weighted avg': {'precision': 0.8181339493839495, 'recall': 0.7375, 'f1-score': 0.7342271261953057, 'support': 80}}",0.7190483,100,20,64,100,0.01,0,0.4
6,7,0.7848101258277893,"{'Basal': {'precision': 0.8571428571428571, 'recall': 0.9230769230769231, 'f1-score': 0.888888888888889, 'support': 13}, 'Her2': {'precision': 0.5714285714285714, 'recall': 0.6666666666666666, 'f1-score': 0.6153846153846153, 'support': 6}, 'LumA': {'precision': 0.8085106382978723, 'recall': 0.926829268292683, 'f1-score': 0.8636363636363636, 'support': 41}, 'LumB': {'precision': 0.875, 'recall': 0.4117647058823529, 'f1-score': 0.56, 'support': 17}, 'Normal': {'precision': 0.3333333333333333, 'recall': 0.5, 'f1-score': 0.4, 'support': 2}, 'micro avg': {'precision': 0.7848101265822784, 'recall': 0.7848101265822784, 'f1-score': 0.7848101265822784, 'support': 79}, 'macro avg': {'precision': 0.6890830800405269, 'recall': 0.6856675127837251, 'f1-score': 0.6655819735819736, 'support': 79}, 'weighted avg': {'precision': 0.8007852077001012, 'recall': 0.7848101265822784, 'f1-score': 0.7718601792019514, 'support': 79}}",0.7190483,100,20,64,100,0.01,0,0.4
7,8,0.7721518874168396,"{'Basal': {'precision': 0.8666666666666667, 'recall': 1.0, 'f1-score': 0.9285714285714286, 'support': 13}, 'Her2': {'precision': 0.6666666666666666, 'recall': 0.6666666666666666, 'f1-score': 0.6666666666666666, 'support': 6}, 'LumA': {'precision': 0.8333333333333334, 'recall': 0.8536585365853658, 'f1-score': 0.8433734939759037, 'support': 41}, 'LumB': {'precision': 0.6428571428571429, 'recall': 0.5294117647058824, 'f1-score': 0.5806451612903226, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.7721518987341772, 'recall': 0.7721518987341772, 'f1-score': 0.7721518987341772, 'support': 79}, 'macro avg': {'precision': 0.6019047619047619, 'recall': 0.6099473935915829, 'f1-score': 0.6038513501008643, 'support': 79}, 'weighted avg': {'precision': 0.7640747438215794, 'recall': 0.7721518987341772, 'f1-score': 0.7660849312199506, 'support': 79}}",0.7190483,100,20,64,100,0.01,0,0.4
8,9,0.6962025165557861,"{'Basal': {'precision': 0.7058823529411765, 'recall': 0.9230769230769231, 'f1-score': 0.8000000000000002, 'support': 13}, 'Her2': {'precision': 0.5, 'recall': 0.6666666666666666, 'f1-score': 0.5714285714285715, 'support': 6}, 'LumA': {'precision': 0.7857142857142857, 'recall': 0.8048780487804879, 'f1-score': 0.7951807228915663, 'support': 41}, 'LumB': {'precision': 0.5, 'recall': 0.35294117647058826, 'f1-score': 0.41379310344827586, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.6962025316455697, 'recall': 0.6962025316455697, 'f1-score': 0.6962025316455697, 'support': 79}, 'macro avg': {'precision': 0.49831932773109244, 'recall': 0.5495125629989333, 'f1-score': 0.5160804795536827, 'support': 79}, 'weighted avg': {'precision': 0.6695032443357091, 'recall': 0.6962025316455697, 'f1-score': 0.6767780231107131, 'support': 79}}",0.7190483,100,20,64,100,0.01,0,0.4
9,10,0.5569620132446289,"{'Basal': {'precision': 0.6842105263157895, 'recall': 1.0, 'f1-score': 0.8125000000000001, 'support': 13}, 'Her2': {'precision': 0.6666666666666666, 'recall': 0.3333333333333333, 'f1-score': 0.4444444444444444, 'support': 6}, 'LumA': {'precision': 0.7916666666666666, 'recall': 0.4634146341463415, 'f1-score': 0.5846153846153846, 'support': 41}, 'LumB': {'precision': 0.6428571428571429, 'recall': 0.5294117647058824, 'f1-score': 0.5806451612903226, 'support': 17}, 'Normal': {'precision': 0.05263157894736842, 'recall': 0.5, 'f1-score': 0.09523809523809525, 'support': 2}, 'micro avg': {'precision': 0.5569620253164557, 'recall': 0.5569620253164557, 'f1-score': 0.5569620253164557, 'support': 79}, 'macro avg': {'precision': 0.5676065162907269, 'recall': 0.5652319464371114, 'f1-score': 0.5034886171176495, 'support': 79}, 'weighted avg': {'precision': 0.7137582881253767, 'recall': 0.5569620253164557, 'f1-score': 0.5982258401051787, 'support': 79}}",0.7190483,100,20,64,100,0.01,0,0.4
