,Fold,accuracy,other_metrics,mean_accuracy,hidden_1,hidden_2,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden
0,1,0.7976190447807312,"{'Basal': {'precision': 0.8235294117647058, 'recall': 1.0, 'f1-score': 0.9032258064516129, 'support': 14}, 'Her2': {'precision': 0.8, 'recall': 0.5714285714285714, 'f1-score': 0.6666666666666666, 'support': 7}, 'LumA': {'precision': 0.8372093023255814, 'recall': 0.8571428571428571, 'f1-score': 0.8470588235294119, 'support': 42}, 'LumB': {'precision': 0.8125, 'recall': 0.7222222222222222, 'f1-score': 0.7647058823529411, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.7976190476190477, 'recall': 0.7976190476190477, 'f1-score': 0.7976190476190477, 'support': 84}, 'macro avg': {'precision': 0.6546477428180575, 'recall': 0.6301587301587301, 'f1-score': 0.6363314358001265, 'support': 84}, 'weighted avg': {'precision': 0.7966333626473846, 'recall': 0.7976190476190477, 'f1-score': 0.793488147947351, 'support': 84}}",0.77534515,300,100,256,100,0.001,0.6,0.2
1,2,0.8095238208770752,"{'Basal': {'precision': 0.875, 'recall': 1.0, 'f1-score': 0.9333333333333333, 'support': 14}, 'Her2': {'precision': 0.5, 'recall': 0.14285714285714285, 'f1-score': 0.22222222222222224, 'support': 7}, 'LumA': {'precision': 0.9, 'recall': 0.8571428571428571, 'f1-score': 0.8780487804878048, 'support': 42}, 'LumB': {'precision': 0.625, 'recall': 0.8333333333333334, 'f1-score': 0.7142857142857143, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.6666666666666666, 'f1-score': 0.8, 'support': 3}, 'micro avg': {'precision': 0.8095238095238095, 'recall': 0.8095238095238095, 'f1-score': 0.8095238095238095, 'support': 84}, 'macro avg': {'precision': 0.78, 'recall': 0.7, 'f1-score': 0.709578010065815, 'support': 84}, 'weighted avg': {'precision': 0.8071428571428573, 'recall': 0.8095238095238095, 'f1-score': 0.7947311173792011, 'support': 84}}",0.77534515,300,100,256,100,0.001,0.6,0.2
2,3,0.8095238208770752,"{'Basal': {'precision': 0.875, 'recall': 1.0, 'f1-score': 0.9333333333333333, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.7142857142857143, 'f1-score': 0.8333333333333333, 'support': 7}, 'LumA': {'precision': 0.7959183673469388, 'recall': 0.9285714285714286, 'f1-score': 0.8571428571428572, 'support': 42}, 'LumB': {'precision': 0.6923076923076923, 'recall': 0.5, 'f1-score': 0.5806451612903226, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.3333333333333333, 'f1-score': 0.5, 'support': 3}, 'micro avg': {'precision': 0.8095238095238095, 'recall': 0.8095238095238095, 'f1-score': 0.8095238095238095, 'support': 84}, 'macro avg': {'precision': 0.8726452119309263, 'recall': 0.6952380952380953, 'f1-score': 0.7408909370199692, 'support': 84}, 'weighted avg': {'precision': 0.8111917844060702, 'recall': 0.8095238095238095, 'f1-score': 0.7958525345622119, 'support': 84}}",0.77534515,300,100,256,100,0.001,0.6,0.2
3,4,0.75,"{'Basal': {'precision': 0.8666666666666667, 'recall': 0.9285714285714286, 'f1-score': 0.896551724137931, 'support': 14}, 'Her2': {'precision': 0.6, 'recall': 0.42857142857142855, 'f1-score': 0.5, 'support': 7}, 'LumA': {'precision': 0.8, 'recall': 0.8571428571428571, 'f1-score': 0.8275862068965518, 'support': 42}, 'LumB': {'precision': 0.5294117647058824, 'recall': 0.5, 'f1-score': 0.5142857142857143, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.6666666666666666, 'f1-score': 0.8, 'support': 3}, 'micro avg': {'precision': 0.75, 'recall': 0.75, 'f1-score': 0.75, 'support': 84}, 'macro avg': {'precision': 0.7592156862745097, 'recall': 0.6761904761904762, 'f1-score': 0.7076847290640395, 'support': 84}, 'weighted avg': {'precision': 0.7436041083099907, 'recall': 0.75, 'f1-score': 0.743660567675346, 'support': 84}}",0.77534515,300,100,256,100,0.001,0.6,0.2
4,5,0.773809552192688,"{'Basal': {'precision': 0.7368421052631579, 'recall': 1.0, 'f1-score': 0.8484848484848484, 'support': 14}, 'Her2': {'precision': 0.7142857142857143, 'recall': 0.7142857142857143, 'f1-score': 0.7142857142857143, 'support': 7}, 'LumA': {'precision': 0.813953488372093, 'recall': 0.8333333333333334, 'f1-score': 0.8235294117647058, 'support': 42}, 'LumB': {'precision': 0.75, 'recall': 0.5, 'f1-score': 0.6, 'support': 18}, 'Normal': {'precision': 0.6666666666666666, 'recall': 0.6666666666666666, 'f1-score': 0.6666666666666666, 'support': 3}, 'micro avg': {'precision': 0.7738095238095238, 'recall': 0.7738095238095238, 'f1-score': 0.7738095238095238, 'support': 84}, 'macro avg': {'precision': 0.7363495949175263, 'recall': 0.7428571428571429, 'f1-score': 0.730593328240387, 'support': 84}, 'weighted avg': {'precision': 0.7738313807775251, 'recall': 0.7738095238095238, 'f1-score': 0.7650836092012561, 'support': 84}}",0.77534515,300,100,256,100,0.001,0.6,0.2
5,6,0.7749999761581421,"{'Basal': {'precision': 0.8571428571428571, 'recall': 0.9230769230769231, 'f1-score': 0.888888888888889, 'support': 13}, 'Her2': {'precision': 0.36363636363636365, 'recall': 0.6666666666666666, 'f1-score': 0.4705882352941177, 'support': 6}, 'LumA': {'precision': 0.9444444444444444, 'recall': 0.8292682926829268, 'f1-score': 0.883116883116883, 'support': 41}, 'LumB': {'precision': 0.7058823529411765, 'recall': 0.6666666666666666, 'f1-score': 0.6857142857142857, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.775, 'recall': 0.775, 'f1-score': 0.775, 'support': 80}, 'macro avg': {'precision': 0.5742212036329684, 'recall': 0.6171357098186366, 'f1-score': 0.585661658602835, 'support': 80}, 'weighted avg': {'precision': 0.8094097487479841, 'recall': 0.775, 'f1-score': 0.7866216789746201, 'support': 80}}",0.77534515,300,100,256,100,0.001,0.6,0.2
6,7,0.7341772317886353,"{'Basal': {'precision': 0.9166666666666666, 'recall': 0.8461538461538461, 'f1-score': 0.8799999999999999, 'support': 13}, 'Her2': {'precision': 0.45454545454545453, 'recall': 0.8333333333333334, 'f1-score': 0.5882352941176471, 'support': 6}, 'LumA': {'precision': 0.8571428571428571, 'recall': 0.7317073170731707, 'f1-score': 0.7894736842105263, 'support': 41}, 'LumB': {'precision': 0.5263157894736842, 'recall': 0.5882352941176471, 'f1-score': 0.5555555555555555, 'support': 17}, 'Normal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 2}, 'micro avg': {'precision': 0.7341772151898734, 'recall': 0.7341772151898734, 'f1-score': 0.7341772151898734, 'support': 79}, 'macro avg': {'precision': 0.7509341535657325, 'recall': 0.7998859581355995, 'f1-score': 0.7626529067767457, 'support': 79}, 'weighted avg': {'precision': 0.7687868982006223, 'recall': 0.7341772151898734, 'f1-score': 0.7440794590098976, 'support': 79}}",0.77534515,300,100,256,100,0.001,0.6,0.2
7,8,0.7848101258277893,"{'Basal': {'precision': 0.8666666666666667, 'recall': 1.0, 'f1-score': 0.9285714285714286, 'support': 13}, 'Her2': {'precision': 0.6666666666666666, 'recall': 0.6666666666666666, 'f1-score': 0.6666666666666666, 'support': 6}, 'LumA': {'precision': 0.8043478260869565, 'recall': 0.9024390243902439, 'f1-score': 0.8505747126436782, 'support': 41}, 'LumB': {'precision': 0.8, 'recall': 0.47058823529411764, 'f1-score': 0.5925925925925927, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.7848101265822784, 'recall': 0.7848101265822784, 'f1-score': 0.7848101265822784, 'support': 79}, 'macro avg': {'precision': 0.627536231884058, 'recall': 0.6079387852702056, 'f1-score': 0.6076810800948732, 'support': 79}, 'weighted avg': {'precision': 0.7828471840029353, 'recall': 0.7848101265822784, 'f1-score': 0.7723932387834614, 'support': 79}}",0.77534515,300,100,256,100,0.001,0.6,0.2
8,9,0.746835470199585,"{'Basal': {'precision': 0.8571428571428571, 'recall': 0.9230769230769231, 'f1-score': 0.888888888888889, 'support': 13}, 'Her2': {'precision': 1.0, 'recall': 0.8333333333333334, 'f1-score': 0.9090909090909091, 'support': 6}, 'LumA': {'precision': 0.7608695652173914, 'recall': 0.8536585365853658, 'f1-score': 0.8045977011494252, 'support': 41}, 'LumB': {'precision': 0.5, 'recall': 0.4117647058823529, 'f1-score': 0.45161290322580644, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.7468354430379747, 'recall': 0.7468354430379747, 'f1-score': 0.7468354430379747, 'support': 79}, 'macro avg': {'precision': 0.6236024844720497, 'recall': 0.604366699775595, 'f1-score': 0.610838080471006, 'support': 79}, 'weighted avg': {'precision': 0.7194748014781036, 'recall': 0.7468354430379747, 'f1-score': 0.7300762798995716, 'support': 79}}",0.77534515,300,100,256,100,0.001,0.6,0.2
9,10,0.7721518874168396,"{'Basal': {'precision': 0.9285714285714286, 'recall': 1.0, 'f1-score': 0.962962962962963, 'support': 13}, 'Her2': {'precision': 0.75, 'recall': 1.0, 'f1-score': 0.8571428571428571, 'support': 6}, 'LumA': {'precision': 0.8823529411764706, 'recall': 0.7317073170731707, 'f1-score': 0.8, 'support': 41}, 'LumB': {'precision': 0.7333333333333333, 'recall': 0.6470588235294118, 'f1-score': 0.6875, 'support': 17}, 'Normal': {'precision': 0.125, 'recall': 0.5, 'f1-score': 0.2, 'support': 2}, 'micro avg': {'precision': 0.7721518987341772, 'recall': 0.7721518987341772, 'f1-score': 0.7721518987341772, 'support': 79}, 'macro avg': {'precision': 0.6838515406162464, 'recall': 0.7757532281205164, 'f1-score': 0.701521164021164, 'support': 79}, 'weighted avg': {'precision': 0.8286653902067156, 'recall': 0.7721518987341772, 'f1-score': 0.7917579197642489, 'support': 79}}",0.77534515,300,100,256,100,0.001,0.6,0.2
