,Fold,accuracy,other_metrics,mean_accuracy,hidden_1,hidden_2,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden
0,1,0.761904776096344,"{'Basal': {'precision': 0.8125, 'recall': 0.9285714285714286, 'f1-score': 0.8666666666666666, 'support': 14}, 'Her2': {'precision': 0.5, 'recall': 0.2857142857142857, 'f1-score': 0.36363636363636365, 'support': 7}, 'LumA': {'precision': 0.75, 'recall': 1.0, 'f1-score': 0.8571428571428571, 'support': 42}, 'LumB': {'precision': 0.875, 'recall': 0.3888888888888889, 'f1-score': 0.5384615384615385, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.7619047619047619, 'recall': 0.7619047619047619, 'f1-score': 0.7619047619047619, 'support': 84}, 'macro avg': {'precision': 0.5875, 'recall': 0.5206349206349207, 'f1-score': 0.5251814851814851, 'support': 84}, 'weighted avg': {'precision': 0.7395833333333334, 'recall': 0.7619047619047619, 'f1-score': 0.7187035187035187, 'support': 84}}",0.7934395,300,100,256,100,0.001,0,0.6
1,2,0.7857142686843872,"{'Basal': {'precision': 0.9285714285714286, 'recall': 0.9285714285714286, 'f1-score': 0.9285714285714286, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.14285714285714285, 'f1-score': 0.25, 'support': 7}, 'LumA': {'precision': 0.8222222222222222, 'recall': 0.8809523809523809, 'f1-score': 0.8505747126436781, 'support': 42}, 'LumB': {'precision': 0.625, 'recall': 0.8333333333333334, 'f1-score': 0.7142857142857143, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.7857142857142857, 'recall': 0.7857142857142857, 'f1-score': 0.7857142857142857, 'support': 84}, 'macro avg': {'precision': 0.6751587301587302, 'recall': 0.5571428571428572, 'f1-score': 0.5486863711001642, 'support': 84}, 'weighted avg': {'precision': 0.7831349206349206, 'recall': 0.7857142857142857, 'f1-score': 0.7539438189068731, 'support': 84}}",0.7934395,300,100,256,100,0.001,0,0.6
2,3,0.8214285969734192,"{'Basal': {'precision': 1.0, 'recall': 0.9285714285714286, 'f1-score': 0.962962962962963, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.7142857142857143, 'f1-score': 0.8333333333333333, 'support': 7}, 'LumA': {'precision': 0.7636363636363637, 'recall': 1.0, 'f1-score': 0.865979381443299, 'support': 42}, 'LumB': {'precision': 0.9, 'recall': 0.5, 'f1-score': 0.6428571428571429, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.8214285714285714, 'recall': 0.8214285714285714, 'f1-score': 0.8214285714285714, 'support': 84}, 'macro avg': {'precision': 0.7327272727272727, 'recall': 0.6285714285714286, 'f1-score': 0.6610265641193476, 'support': 84}, 'weighted avg': {'precision': 0.8246753246753248, 'recall': 0.8214285714285714, 'f1-score': 0.8006830643674041, 'support': 84}}",0.7934395,300,100,256,100,0.001,0,0.6
3,4,0.75,"{'Basal': {'precision': 0.9285714285714286, 'recall': 0.9285714285714286, 'f1-score': 0.9285714285714286, 'support': 14}, 'Her2': {'precision': 0.6666666666666666, 'recall': 0.2857142857142857, 'f1-score': 0.4, 'support': 7}, 'LumA': {'precision': 0.7307692307692307, 'recall': 0.9047619047619048, 'f1-score': 0.8085106382978723, 'support': 42}, 'LumB': {'precision': 0.6428571428571429, 'recall': 0.5, 'f1-score': 0.5625000000000001, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.3333333333333333, 'f1-score': 0.5, 'support': 3}, 'micro avg': {'precision': 0.75, 'recall': 0.75, 'f1-score': 0.75, 'support': 84}, 'macro avg': {'precision': 0.7937728937728938, 'recall': 0.5904761904761905, 'f1-score': 0.6399164133738602, 'support': 84}, 'weighted avg': {'precision': 0.7491714634571777, 'recall': 0.75, 'f1-score': 0.7307434143870314, 'support': 84}}",0.7934395,300,100,256,100,0.001,0,0.6
4,5,0.75,"{'Basal': {'precision': 0.8125, 'recall': 0.9285714285714286, 'f1-score': 0.8666666666666666, 'support': 14}, 'Her2': {'precision': 0.6666666666666666, 'recall': 0.5714285714285714, 'f1-score': 0.6153846153846153, 'support': 7}, 'LumA': {'precision': 0.7090909090909091, 'recall': 0.9285714285714286, 'f1-score': 0.8041237113402062, 'support': 42}, 'LumB': {'precision': 1.0, 'recall': 0.3333333333333333, 'f1-score': 0.5, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.3333333333333333, 'f1-score': 0.5, 'support': 3}, 'micro avg': {'precision': 0.75, 'recall': 0.75, 'f1-score': 0.75, 'support': 84}, 'macro avg': {'precision': 0.837651515151515, 'recall': 0.6190476190476192, 'f1-score': 0.6572349986782976, 'support': 84}, 'weighted avg': {'precision': 0.7955176767676766, 'recall': 0.75, 'f1-score': 0.7227883513965988, 'support': 84}}",0.7934395,300,100,256,100,0.001,0,0.6
5,6,0.8374999761581421,"{'Basal': {'precision': 0.9230769230769231, 'recall': 0.9230769230769231, 'f1-score': 0.9230769230769231, 'support': 13}, 'Her2': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.5, 'support': 6}, 'LumA': {'precision': 0.926829268292683, 'recall': 0.926829268292683, 'f1-score': 0.926829268292683, 'support': 41}, 'LumB': {'precision': 0.7222222222222222, 'recall': 0.7222222222222222, 'f1-score': 0.7222222222222222, 'support': 18}, 'Normal': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.5, 'support': 2}, 'micro avg': {'precision': 0.8375, 'recall': 0.8375, 'f1-score': 0.8375, 'support': 80}, 'macro avg': {'precision': 0.7144256827183657, 'recall': 0.7144256827183657, 'f1-score': 0.7144256827183657, 'support': 80}, 'weighted avg': {'precision': 0.8375, 'recall': 0.8375, 'f1-score': 0.8375, 'support': 80}}",0.7934395,300,100,256,100,0.001,0,0.6
6,7,0.797468364238739,"{'Basal': {'precision': 1.0, 'recall': 0.8461538461538461, 'f1-score': 0.9166666666666666, 'support': 13}, 'Her2': {'precision': 0.625, 'recall': 0.8333333333333334, 'f1-score': 0.7142857142857143, 'support': 6}, 'LumA': {'precision': 0.7916666666666666, 'recall': 0.926829268292683, 'f1-score': 0.8539325842696629, 'support': 41}, 'LumB': {'precision': 0.75, 'recall': 0.5294117647058824, 'f1-score': 0.6206896551724139, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.7974683544303798, 'recall': 0.7974683544303798, 'f1-score': 0.7974683544303798, 'support': 79}, 'macro avg': {'precision': 0.6333333333333333, 'recall': 0.627145642497149, 'f1-score': 0.6211149240788915, 'support': 79}, 'weighted avg': {'precision': 0.7842827004219408, 'recall': 0.7974683544303798, 'f1-score': 0.7818397600679515, 'support': 79}}",0.7934395,300,100,256,100,0.001,0,0.6
7,8,0.8481012582778931,"{'Basal': {'precision': 0.8666666666666667, 'recall': 1.0, 'f1-score': 0.9285714285714286, 'support': 13}, 'Her2': {'precision': 1.0, 'recall': 0.6666666666666666, 'f1-score': 0.8, 'support': 6}, 'LumA': {'precision': 0.803921568627451, 'recall': 1.0, 'f1-score': 0.891304347826087, 'support': 41}, 'LumB': {'precision': 1.0, 'recall': 0.5294117647058824, 'f1-score': 0.6923076923076924, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.8481012658227848, 'recall': 0.8481012658227848, 'f1-score': 0.8481012658227848, 'support': 79}, 'macro avg': {'precision': 0.7341176470588235, 'recall': 0.6392156862745098, 'f1-score': 0.6624366937410416, 'support': 79}, 'weighted avg': {'precision': 0.8509803921568626, 'recall': 0.8481012658227848, 'f1-score': 0.8251156658421382, 'support': 79}}",0.7934395,300,100,256,100,0.001,0,0.6
8,9,0.7848101258277893,"{'Basal': {'precision': 0.8, 'recall': 0.9230769230769231, 'f1-score': 0.8571428571428571, 'support': 13}, 'Her2': {'precision': 1.0, 'recall': 0.8333333333333334, 'f1-score': 0.9090909090909091, 'support': 6}, 'LumA': {'precision': 0.8181818181818182, 'recall': 0.8780487804878049, 'f1-score': 0.8470588235294119, 'support': 41}, 'LumB': {'precision': 0.6, 'recall': 0.5294117647058824, 'f1-score': 0.5625, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.7848101265822784, 'recall': 0.7848101265822784, 'f1-score': 0.7848101265822784, 'support': 79}, 'macro avg': {'precision': 0.6436363636363637, 'recall': 0.6327741603207887, 'f1-score': 0.6351585179526357, 'support': 79}, 'weighted avg': {'precision': 0.7613348676639815, 'recall': 0.7848101265822784, 'f1-score': 0.7707508147102339, 'support': 79}}",0.7934395,300,100,256,100,0.001,0,0.6
9,10,0.797468364238739,"{'Basal': {'precision': 0.9285714285714286, 'recall': 1.0, 'f1-score': 0.962962962962963, 'support': 13}, 'Her2': {'precision': 1.0, 'recall': 0.8333333333333334, 'f1-score': 0.9090909090909091, 'support': 6}, 'LumA': {'precision': 0.7708333333333334, 'recall': 0.9024390243902439, 'f1-score': 0.8314606741573034, 'support': 41}, 'LumB': {'precision': 0.7, 'recall': 0.4117647058823529, 'f1-score': 0.5185185185185185, 'support': 17}, 'Normal': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.5, 'support': 2}, 'micro avg': {'precision': 0.7974683544303798, 'recall': 0.7974683544303798, 'f1-score': 0.7974683544303798, 'support': 79}, 'macro avg': {'precision': 0.7798809523809525, 'recall': 0.729507412721186, 'f1-score': 0.7444066129459388, 'support': 79}, 'weighted avg': {'precision': 0.7920961422543701, 'recall': 0.7974683544303798, 'f1-score': 0.78326286618137, 'support': 79}}",0.7934395,300,100,256,100,0.001,0,0.6
