,Fold,accuracy,other_metrics,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden,dropout_decoder,freeze_weights,classifier_use_z,classifier_loss,reconstruction_loss
0,1,0.6309523582458496,"{'Basal': {'precision': 1.0, 'recall': 0.5, 'f1-score': 0.6666666666666666, 'support': 14}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7}, 'LumA': {'precision': 0.6, 'recall': 1.0, 'f1-score': 0.7499999999999999, 'support': 42}, 'LumB': {'precision': 0.5714285714285714, 'recall': 0.2222222222222222, 'f1-score': 0.32, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.6309523809523809, 'recall': 0.6309523809523809, 'f1-score': 0.6309523809523809, 'support': 84}, 'macro avg': {'precision': 0.43428571428571433, 'recall': 0.34444444444444444, 'f1-score': 0.3473333333333333, 'support': 84}, 'weighted avg': {'precision': 0.5891156462585034, 'recall': 0.6309523809523809, 'f1-score': 0.5546825396825396, 'support': 84}}",0.6162553,300,100,64,100,0.001,0.4,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
1,2,0.6309523582458496,"{'Basal': {'precision': 1.0, 'recall': 0.35714285714285715, 'f1-score': 0.5263157894736842, 'support': 14}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7}, 'LumA': {'precision': 0.6607142857142857, 'recall': 0.8809523809523809, 'f1-score': 0.7551020408163266, 'support': 42}, 'LumB': {'precision': 0.4782608695652174, 'recall': 0.6111111111111112, 'f1-score': 0.5365853658536586, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.6309523809523809, 'recall': 0.6309523809523809, 'f1-score': 0.6309523809523809, 'support': 84}, 'macro avg': {'precision': 0.42779503105590055, 'recall': 0.36984126984126986, 'f1-score': 0.36360063922873387, 'support': 84}, 'weighted avg': {'precision': 0.599508281573499, 'recall': 0.6309523809523809, 'f1-score': 0.5802528970509899, 'support': 84}}",0.6162553,300,100,64,100,0.001,0.4,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
2,3,0.6190476417541504,"{'Basal': {'precision': 0.7777777777777778, 'recall': 0.5, 'f1-score': 0.6086956521739131, 'support': 14}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7}, 'LumA': {'precision': 0.6229508196721312, 'recall': 0.9047619047619048, 'f1-score': 0.7378640776699029, 'support': 42}, 'LumB': {'precision': 0.5, 'recall': 0.3888888888888889, 'f1-score': 0.43750000000000006, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.6190476190476191, 'recall': 0.6190476190476191, 'f1-score': 0.6190476190476191, 'support': 84}, 'macro avg': {'precision': 0.3801457194899818, 'recall': 0.3587301587301587, 'f1-score': 0.3568119459687632, 'support': 84}, 'weighted avg': {'precision': 0.5482478966085524, 'recall': 0.6190476190476191, 'f1-score': 0.5641313141972704, 'support': 84}}",0.6162553,300,100,64,100,0.001,0.4,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
3,4,0.5357142686843872,"{'Basal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 14}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7}, 'LumA': {'precision': 0.6290322580645161, 'recall': 0.9285714285714286, 'f1-score': 0.75, 'support': 42}, 'LumB': {'precision': 0.2727272727272727, 'recall': 0.3333333333333333, 'f1-score': 0.3, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.5357142857142857, 'recall': 0.5357142857142857, 'f1-score': 0.5357142857142857, 'support': 84}, 'macro avg': {'precision': 0.18035190615835778, 'recall': 0.2523809523809524, 'f1-score': 0.21000000000000002, 'support': 84}, 'weighted avg': {'precision': 0.3729576874738165, 'recall': 0.5357142857142857, 'f1-score': 0.4392857142857143, 'support': 84}}",0.6162553,300,100,64,100,0.001,0.4,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
4,5,0.5,"{'Basal': {'precision': 0.3333333333333333, 'recall': 0.07142857142857142, 'f1-score': 0.11764705882352941, 'support': 14}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7}, 'LumA': {'precision': 0.5774647887323944, 'recall': 0.9761904761904762, 'f1-score': 0.7256637168141593, 'support': 42}, 'LumB': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.5, 'support': 84}, 'macro avg': {'precision': 0.18215962441314554, 'recall': 0.20952380952380953, 'f1-score': 0.16866215512753774, 'support': 84}, 'weighted avg': {'precision': 0.34428794992175277, 'recall': 0.5, 'f1-score': 0.3824397015443346, 'support': 84}}",0.6162553,300,100,64,100,0.001,0.4,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
5,6,0.574999988079071,"{'Basal': {'precision': 0.42105263157894735, 'recall': 0.6153846153846154, 'f1-score': 0.5, 'support': 13}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6}, 'LumA': {'precision': 0.6666666666666666, 'recall': 0.926829268292683, 'f1-score': 0.7755102040816327, 'support': 41}, 'LumB': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.575, 'recall': 0.575, 'f1-score': 0.575, 'support': 80}, 'macro avg': {'precision': 0.21754385964912276, 'recall': 0.30844277673545967, 'f1-score': 0.25510204081632654, 'support': 80}, 'weighted avg': {'precision': 0.41008771929824556, 'recall': 0.575, 'f1-score': 0.47869897959183677, 'support': 80}}",0.6162553,300,100,64,100,0.001,0.4,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
6,7,0.6708860993385315,"{'Basal': {'precision': 0.631578947368421, 'recall': 0.9230769230769231, 'f1-score': 0.7499999999999999, 'support': 13}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6}, 'LumA': {'precision': 0.6909090909090909, 'recall': 0.926829268292683, 'f1-score': 0.7916666666666667, 'support': 41}, 'LumB': {'precision': 0.6, 'recall': 0.17647058823529413, 'f1-score': 0.2727272727272727, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.6708860759493671, 'recall': 0.6708860759493671, 'f1-score': 0.6708860759493671, 'support': 79}, 'macro avg': {'precision': 0.38449760765550234, 'recall': 0.40527535592098, 'f1-score': 0.36287878787878786, 'support': 79}, 'weighted avg': {'precision': 0.5916177094058506, 'recall': 0.6708860759493671, 'f1-score': 0.5929708477176832, 'support': 79}}",0.6162553,300,100,64,100,0.001,0.4,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
7,8,0.6708860993385315,"{'Basal': {'precision': 0.6842105263157895, 'recall': 1.0, 'f1-score': 0.8125000000000001, 'support': 13}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6}, 'LumA': {'precision': 0.6964285714285714, 'recall': 0.9512195121951219, 'f1-score': 0.8041237113402062, 'support': 41}, 'LumB': {'precision': 0.25, 'recall': 0.058823529411764705, 'f1-score': 0.09523809523809523, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.6708860759493671, 'recall': 0.6708860759493671, 'f1-score': 0.6708860759493671, 'support': 79}, 'macro avg': {'precision': 0.3261278195488722, 'recall': 0.4020086083213773, 'f1-score': 0.34237236131566035, 'support': 79}, 'weighted avg': {'precision': 0.527826686970591, 'recall': 0.6708860759493671, 'f1-score': 0.5715268327088111, 'support': 79}}",0.6162553,300,100,64,100,0.001,0.4,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
8,9,0.6582278609275818,"{'Basal': {'precision': 0.6, 'recall': 0.9230769230769231, 'f1-score': 0.7272727272727274, 'support': 13}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6}, 'LumA': {'precision': 0.6666666666666666, 'recall': 0.926829268292683, 'f1-score': 0.7755102040816327, 'support': 41}, 'LumB': {'precision': 1.0, 'recall': 0.11764705882352941, 'f1-score': 0.21052631578947367, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.6582278481012658, 'recall': 0.6582278481012658, 'f1-score': 0.6582278481012658, 'support': 79}, 'macro avg': {'precision': 0.4533333333333333, 'recall': 0.3935106500386271, 'f1-score': 0.34266184942876676, 'support': 79}, 'weighted avg': {'precision': 0.659915611814346, 'recall': 0.6582278481012658, 'f1-score': 0.5674609011432082, 'support': 79}}",0.6162553,300,100,64,100,0.001,0.4,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
9,10,0.6708860993385315,"{'Basal': {'precision': 0.5263157894736842, 'recall': 0.7692307692307693, 'f1-score': 0.625, 'support': 13}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6}, 'LumA': {'precision': 0.7090909090909091, 'recall': 0.9512195121951219, 'f1-score': 0.8125, 'support': 41}, 'LumB': {'precision': 0.8, 'recall': 0.23529411764705882, 'f1-score': 0.3636363636363636, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.6708860759493671, 'recall': 0.6708860759493671, 'f1-score': 0.6708860759493671, 'support': 79}, 'macro avg': {'precision': 0.40708133971291866, 'recall': 0.39114887981459, 'f1-score': 0.36022727272727273, 'support': 79}, 'weighted avg': {'precision': 0.6267700320998123, 'recall': 0.6708860759493671, 'f1-score': 0.6027761795166858, 'support': 79}}",0.6162553,300,100,64,100,0.001,0.4,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
