,Fold,accuracy,other_metrics,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden,dropout_decoder,freeze_weights,classifier_use_z,classifier_loss,reconstruction_loss
0,1,0.726190447807312,"{'Basal': {'precision': 0.8125, 'recall': 0.9285714285714286, 'f1-score': 0.8666666666666666, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.14285714285714285, 'f1-score': 0.25, 'support': 7}, 'LumA': {'precision': 0.6833333333333333, 'recall': 0.9761904761904762, 'f1-score': 0.803921568627451, 'support': 42}, 'LumB': {'precision': 0.8571428571428571, 'recall': 0.3333333333333333, 'f1-score': 0.48, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.7261904761904762, 'recall': 0.7261904761904762, 'f1-score': 0.7261904761904762, 'support': 84}, 'macro avg': {'precision': 0.6705952380952381, 'recall': 0.47619047619047616, 'f1-score': 0.4801176470588235, 'support': 84}, 'weighted avg': {'precision': 0.7440901360544219, 'recall': 0.7261904761904762, 'f1-score': 0.6700957049486461, 'support': 84}}",0.74680156,300,100,64,100,0.001,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
1,2,0.8333333134651184,"{'Basal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.2857142857142857, 'f1-score': 0.4444444444444445, 'support': 7}, 'LumA': {'precision': 0.8636363636363636, 'recall': 0.9047619047619048, 'f1-score': 0.8837209302325582, 'support': 42}, 'LumB': {'precision': 0.6666666666666666, 'recall': 0.8888888888888888, 'f1-score': 0.761904761904762, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.8333333333333334, 'recall': 0.8333333333333334, 'f1-score': 0.8333333333333334, 'support': 84}, 'macro avg': {'precision': 0.706060606060606, 'recall': 0.6158730158730158, 'f1-score': 0.6180140273163529, 'support': 84}, 'weighted avg': {'precision': 0.8246753246753248, 'recall': 0.8333333333333334, 'f1-score': 0.808829474942432, 'support': 84}}",0.74680156,300,100,64,100,0.001,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
2,3,0.6428571343421936,"{'Basal': {'precision': 0.6111111111111112, 'recall': 0.7857142857142857, 'f1-score': 0.6875000000000001, 'support': 14}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7}, 'LumA': {'precision': 0.65625, 'recall': 1.0, 'f1-score': 0.7924528301886793, 'support': 42}, 'LumB': {'precision': 0.5, 'recall': 0.05555555555555555, 'f1-score': 0.09999999999999999, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.6428571428571429, 'recall': 0.6428571428571429, 'f1-score': 0.6428571428571429, 'support': 84}, 'macro avg': {'precision': 0.35347222222222224, 'recall': 0.3682539682539682, 'f1-score': 0.3159905660377359, 'support': 84}, 'weighted avg': {'precision': 0.5371197089947091, 'recall': 0.6428571428571429, 'f1-score': 0.5322383198562444, 'support': 84}}",0.74680156,300,100,64,100,0.001,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
3,4,0.726190447807312,"{'Basal': {'precision': 1.0, 'recall': 0.9285714285714286, 'f1-score': 0.962962962962963, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.2857142857142857, 'f1-score': 0.4444444444444445, 'support': 7}, 'LumA': {'precision': 0.6896551724137931, 'recall': 0.9523809523809523, 'f1-score': 0.7999999999999999, 'support': 42}, 'LumB': {'precision': 0.5454545454545454, 'recall': 0.3333333333333333, 'f1-score': 0.41379310344827586, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.7261904761904762, 'recall': 0.7261904761904762, 'f1-score': 0.7261904761904762, 'support': 84}, 'macro avg': {'precision': 0.6470219435736677, 'recall': 0.5000000000000001, 'f1-score': 0.5242401021711366, 'support': 84}, 'weighted avg': {'precision': 0.7117107030900135, 'recall': 0.7261904761904762, 'f1-score': 0.6862008149364471, 'support': 84}}",0.74680156,300,100,64,100,0.001,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
4,5,0.7142857313156128,"{'Basal': {'precision': 0.8666666666666667, 'recall': 0.9285714285714286, 'f1-score': 0.896551724137931, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.2857142857142857, 'f1-score': 0.4444444444444445, 'support': 7}, 'LumA': {'precision': 0.7037037037037037, 'recall': 0.9047619047619048, 'f1-score': 0.7916666666666667, 'support': 42}, 'LumB': {'precision': 0.5384615384615384, 'recall': 0.3888888888888889, 'f1-score': 0.45161290322580644, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.7142857142857143, 'recall': 0.7142857142857143, 'f1-score': 0.7142857142857143, 'support': 84}, 'macro avg': {'precision': 0.6217663817663818, 'recall': 0.5015873015873016, 'f1-score': 0.5168551476949698, 'support': 84}, 'weighted avg': {'precision': 0.695014245014245, 'recall': 0.7142857142857143, 'f1-score': 0.6790698512750792, 'support': 84}}",0.74680156,300,100,64,100,0.001,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
5,6,0.8125,"{'Basal': {'precision': 0.9285714285714286, 'recall': 1.0, 'f1-score': 0.962962962962963, 'support': 13}, 'Her2': {'precision': 0.4, 'recall': 0.3333333333333333, 'f1-score': 0.3636363636363636, 'support': 6}, 'LumA': {'precision': 0.8863636363636364, 'recall': 0.9512195121951219, 'f1-score': 0.9176470588235294, 'support': 41}, 'LumB': {'precision': 0.6470588235294118, 'recall': 0.6111111111111112, 'f1-score': 0.6285714285714287, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.8125, 'recall': 0.8125, 'f1-score': 0.8125, 'support': 80}, 'macro avg': {'precision': 0.5723987776928954, 'recall': 0.5791327913279132, 'f1-score': 0.5745635627988569, 'support': 80}, 'weighted avg': {'precision': 0.7807424560733385, 'recall': 0.8125, 'f1-score': 0.795476897829839, 'support': 80}}",0.74680156,300,100,64,100,0.001,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
6,7,0.7721518874168396,"{'Basal': {'precision': 0.9230769230769231, 'recall': 0.9230769230769231, 'f1-score': 0.9230769230769231, 'support': 13}, 'Her2': {'precision': 0.75, 'recall': 0.5, 'f1-score': 0.6, 'support': 6}, 'LumA': {'precision': 0.7708333333333334, 'recall': 0.9024390243902439, 'f1-score': 0.8314606741573034, 'support': 41}, 'LumB': {'precision': 0.6428571428571429, 'recall': 0.5294117647058824, 'f1-score': 0.5806451612903226, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.7721518987341772, 'recall': 0.7721518987341772, 'f1-score': 0.7721518987341772, 'support': 79}, 'macro avg': {'precision': 0.6173534798534799, 'recall': 0.5709855424346099, 'f1-score': 0.5870365517049098, 'support': 79}, 'weighted avg': {'precision': 0.7472498493068114, 'recall': 0.7721518987341772, 'f1-score': 0.7539348782580371, 'support': 79}}",0.74680156,300,100,64,100,0.001,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
7,8,0.8227847814559937,"{'Basal': {'precision': 0.8666666666666667, 'recall': 1.0, 'f1-score': 0.9285714285714286, 'support': 13}, 'Her2': {'precision': 1.0, 'recall': 0.3333333333333333, 'f1-score': 0.5, 'support': 6}, 'LumA': {'precision': 0.8125, 'recall': 0.9512195121951219, 'f1-score': 0.8764044943820225, 'support': 41}, 'LumB': {'precision': 0.7857142857142857, 'recall': 0.6470588235294118, 'f1-score': 0.7096774193548386, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.8227848101265823, 'recall': 0.8227848101265823, 'f1-score': 0.8227848101265823, 'support': 79}, 'macro avg': {'precision': 0.6929761904761904, 'recall': 0.5863223338115733, 'f1-score': 0.602930668461658, 'support': 79}, 'weighted avg': {'precision': 0.8093203737191079, 'recall': 0.8227848101265823, 'f1-score': 0.7983358097484019, 'support': 79}}",0.74680156,300,100,64,100,0.001,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
8,9,0.7088607549667358,"{'Basal': {'precision': 0.7333333333333333, 'recall': 0.8461538461538461, 'f1-score': 0.7857142857142856, 'support': 13}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6}, 'LumA': {'precision': 0.74, 'recall': 0.9024390243902439, 'f1-score': 0.8131868131868132, 'support': 41}, 'LumB': {'precision': 0.5714285714285714, 'recall': 0.47058823529411764, 'f1-score': 0.5161290322580646, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.7088607594936709, 'recall': 0.7088607594936709, 'f1-score': 0.7088607594936709, 'support': 79}, 'macro avg': {'precision': 0.40895238095238096, 'recall': 0.44383622116764154, 'f1-score': 0.4230060262318327, 'support': 79}, 'weighted avg': {'precision': 0.6276913803496083, 'recall': 0.7088607594936709, 'f1-score': 0.66239415953585, 'support': 79}}",0.74680156,300,100,64,100,0.001,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
9,10,0.7088607549667358,"{'Basal': {'precision': 0.65, 'recall': 1.0, 'f1-score': 0.787878787878788, 'support': 13}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6}, 'LumA': {'precision': 0.7192982456140351, 'recall': 1.0, 'f1-score': 0.8367346938775511, 'support': 41}, 'LumB': {'precision': 1.0, 'recall': 0.11764705882352941, 'f1-score': 0.21052631578947367, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.7088607594936709, 'recall': 0.7088607594936709, 'f1-score': 0.7088607594936709, 'support': 79}, 'macro avg': {'precision': 0.473859649122807, 'recall': 0.4235294117647059, 'f1-score': 0.3670279595091625, 'support': 79}, 'weighted avg': {'precision': 0.6954585831667778, 'recall': 0.7088607594936709, 'f1-score': 0.6092087855674037, 'support': 79}}",0.74680156,300,100,64,100,0.001,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
