,Fold,accuracy,other_metrics,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden,dropout_decoder,freeze_weights,classifier_use_z,classifier_loss,reconstruction_loss
0,1,0.7142857313156128,"{'Basal': {'precision': 0.7647058823529411, 'recall': 0.9285714285714286, 'f1-score': 0.8387096774193549, 'support': 14}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7}, 'LumA': {'precision': 0.6833333333333333, 'recall': 0.9761904761904762, 'f1-score': 0.803921568627451, 'support': 42}, 'LumB': {'precision': 0.8571428571428571, 'recall': 0.3333333333333333, 'f1-score': 0.48, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.7142857142857143, 'recall': 0.7142857142857143, 'f1-score': 0.7142857142857143, 'support': 84}, 'macro avg': {'precision': 0.4610364145658263, 'recall': 0.44761904761904764, 'f1-score': 0.42452624920936116, 'support': 84}, 'weighted avg': {'precision': 0.6527911164465786, 'recall': 0.7142857142857143, 'f1-score': 0.6446028734074275, 'support': 84}}",0.7465755,100,20,64,100,0.01,0.8,0.2,True,False,False,categorical_crossentropy,binary_crossentropy
1,2,0.8333333134651184,"{'Basal': {'precision': 1.0, 'recall': 0.9285714285714286, 'f1-score': 0.962962962962963, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.2857142857142857, 'f1-score': 0.4444444444444445, 'support': 7}, 'LumA': {'precision': 0.8333333333333334, 'recall': 0.9523809523809523, 'f1-score': 0.888888888888889, 'support': 42}, 'LumB': {'precision': 0.7142857142857143, 'recall': 0.8333333333333334, 'f1-score': 0.7692307692307692, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.8333333333333334, 'recall': 0.8333333333333334, 'f1-score': 0.8333333333333334, 'support': 84}, 'macro avg': {'precision': 0.7095238095238096, 'recall': 0.6000000000000001, 'f1-score': 0.6131054131054131, 'support': 84}, 'weighted avg': {'precision': 0.8197278911564626, 'recall': 0.8333333333333334, 'f1-score': 0.8068104734771402, 'support': 84}}",0.7465755,100,20,64,100,0.01,0.8,0.2,True,False,False,categorical_crossentropy,binary_crossentropy
2,3,0.761904776096344,"{'Basal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.42857142857142855, 'f1-score': 0.6, 'support': 7}, 'LumA': {'precision': 0.7068965517241379, 'recall': 0.9761904761904762, 'f1-score': 0.8199999999999998, 'support': 42}, 'LumB': {'precision': 0.6666666666666666, 'recall': 0.3333333333333333, 'f1-score': 0.4444444444444444, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.7619047619047619, 'recall': 0.7619047619047619, 'f1-score': 0.7619047619047619, 'support': 84}, 'macro avg': {'precision': 0.6747126436781609, 'recall': 0.5476190476190477, 'f1-score': 0.5728888888888889, 'support': 84}, 'weighted avg': {'precision': 0.7463054187192119, 'recall': 0.7619047619047619, 'f1-score': 0.7219047619047617, 'support': 84}}",0.7465755,100,20,64,100,0.01,0.8,0.2,True,False,False,categorical_crossentropy,binary_crossentropy
3,4,0.6904761791229248,"{'Basal': {'precision': 0.8125, 'recall': 0.9285714285714286, 'f1-score': 0.8666666666666666, 'support': 14}, 'Her2': {'precision': 0.5, 'recall': 0.2857142857142857, 'f1-score': 0.36363636363636365, 'support': 7}, 'LumA': {'precision': 0.7169811320754716, 'recall': 0.9047619047619048, 'f1-score': 0.8, 'support': 42}, 'LumB': {'precision': 0.45454545454545453, 'recall': 0.2777777777777778, 'f1-score': 0.3448275862068966, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.6904761904761905, 'recall': 0.6904761904761905, 'f1-score': 0.6904761904761905, 'support': 84}, 'macro avg': {'precision': 0.4968053173241852, 'recall': 0.4793650793650793, 'f1-score': 0.4750261233019854, 'support': 84}, 'weighted avg': {'precision': 0.6329764967736665, 'recall': 0.6904761904761905, 'f1-score': 0.6486391003632384, 'support': 84}}",0.7465755,100,20,64,100,0.01,0.8,0.2,True,False,False,categorical_crossentropy,binary_crossentropy
4,5,0.6785714030265808,"{'Basal': {'precision': 0.8666666666666667, 'recall': 0.9285714285714286, 'f1-score': 0.896551724137931, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.14285714285714285, 'f1-score': 0.25, 'support': 7}, 'LumA': {'precision': 0.6923076923076923, 'recall': 0.8571428571428571, 'f1-score': 0.7659574468085107, 'support': 42}, 'LumB': {'precision': 0.4375, 'recall': 0.3888888888888889, 'f1-score': 0.411764705882353, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.6785714285714286, 'recall': 0.6785714285714286, 'f1-score': 0.6785714285714286, 'support': 84}, 'macro avg': {'precision': 0.5992948717948717, 'recall': 0.46349206349206346, 'f1-score': 0.4648547753657589, 'support': 84}, 'weighted avg': {'precision': 0.6676816239316239, 'recall': 0.6785714285714286, 'f1-score': 0.6414726382115576, 'support': 84}}",0.7465755,100,20,64,100,0.01,0.8,0.2,True,False,False,categorical_crossentropy,binary_crossentropy
5,6,0.8125,"{'Basal': {'precision': 0.7222222222222222, 'recall': 1.0, 'f1-score': 0.8387096774193548, 'support': 13}, 'Her2': {'precision': 0.8, 'recall': 0.6666666666666666, 'f1-score': 0.7272727272727272, 'support': 6}, 'LumA': {'precision': 0.9024390243902439, 'recall': 0.9024390243902439, 'f1-score': 0.9024390243902439, 'support': 41}, 'LumB': {'precision': 0.6875, 'recall': 0.6111111111111112, 'f1-score': 0.6470588235294118, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.8125, 'recall': 0.8125, 'f1-score': 0.8125, 'support': 80}, 'macro avg': {'precision': 0.6224322493224932, 'recall': 0.6360433604336043, 'f1-score': 0.6230960505223475, 'support': 80}, 'weighted avg': {'precision': 0.7945486111111111, 'recall': 0.8125, 'f1-score': 0.7989240124202174, 'support': 80}}",0.7465755,100,20,64,100,0.01,0.8,0.2,True,False,False,categorical_crossentropy,binary_crossentropy
6,7,0.7594936490058899,"{'Basal': {'precision': 0.9230769230769231, 'recall': 0.9230769230769231, 'f1-score': 0.9230769230769231, 'support': 13}, 'Her2': {'precision': 0.6666666666666666, 'recall': 0.6666666666666666, 'f1-score': 0.6666666666666666, 'support': 6}, 'LumA': {'precision': 0.7777777777777778, 'recall': 0.8536585365853658, 'f1-score': 0.8139534883720929, 'support': 41}, 'LumB': {'precision': 0.6, 'recall': 0.5294117647058824, 'f1-score': 0.5625, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.759493670886076, 'recall': 0.759493670886076, 'f1-score': 0.759493670886076, 'support': 79}, 'macro avg': {'precision': 0.5935042735042735, 'recall': 0.5945627782069676, 'f1-score': 0.5932394156231366, 'support': 79}, 'weighted avg': {'precision': 0.7353023909985935, 'recall': 0.759493670886076, 'f1-score': 0.7460075066234912, 'support': 79}}",0.7465755,100,20,64,100,0.01,0.8,0.2,True,False,False,categorical_crossentropy,binary_crossentropy
7,8,0.746835470199585,"{'Basal': {'precision': 0.8666666666666667, 'recall': 1.0, 'f1-score': 0.9285714285714286, 'support': 13}, 'Her2': {'precision': 1.0, 'recall': 0.16666666666666666, 'f1-score': 0.2857142857142857, 'support': 6}, 'LumA': {'precision': 0.7192982456140351, 'recall': 1.0, 'f1-score': 0.8367346938775511, 'support': 41}, 'LumB': {'precision': 0.6666666666666666, 'recall': 0.23529411764705882, 'f1-score': 0.3478260869565218, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.7468354430379747, 'recall': 0.7468354430379747, 'f1-score': 0.7468354430379747, 'support': 79}, 'macro avg': {'precision': 0.6505263157894736, 'recall': 0.48039215686274517, 'f1-score': 0.47976929902395743, 'support': 79}, 'weighted avg': {'precision': 0.7353320008882966, 'recall': 0.7468354430379747, 'f1-score': 0.6836060786449968, 'support': 79}}",0.7465755,100,20,64,100,0.01,0.8,0.2,True,False,False,categorical_crossentropy,binary_crossentropy
8,9,0.7088607549667358,"{'Basal': {'precision': 0.6875, 'recall': 0.8461538461538461, 'f1-score': 0.7586206896551724, 'support': 13}, 'Her2': {'precision': 1.0, 'recall': 0.16666666666666666, 'f1-score': 0.2857142857142857, 'support': 6}, 'LumA': {'precision': 0.7307692307692307, 'recall': 0.926829268292683, 'f1-score': 0.8172043010752689, 'support': 41}, 'LumB': {'precision': 0.6, 'recall': 0.35294117647058826, 'f1-score': 0.4444444444444445, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.7088607594936709, 'recall': 0.7088607594936709, 'f1-score': 0.7088607594936709, 'support': 79}, 'macro avg': {'precision': 0.6036538461538462, 'recall': 0.45851819151675677, 'f1-score': 0.46119674417783435, 'support': 79}, 'weighted avg': {'precision': 0.6974561830574488, 'recall': 0.7088607594936709, 'f1-score': 0.6662947668284118, 'support': 79}}",0.7465755,100,20,64,100,0.01,0.8,0.2,True,False,False,categorical_crossentropy,binary_crossentropy
9,10,0.7594936490058899,"{'Basal': {'precision': 0.8666666666666667, 'recall': 1.0, 'f1-score': 0.9285714285714286, 'support': 13}, 'Her2': {'precision': 1.0, 'recall': 0.16666666666666666, 'f1-score': 0.2857142857142857, 'support': 6}, 'LumA': {'precision': 0.7450980392156863, 'recall': 0.926829268292683, 'f1-score': 0.8260869565217392, 'support': 41}, 'LumB': {'precision': 0.6666666666666666, 'recall': 0.47058823529411764, 'f1-score': 0.5517241379310345, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.759493670886076, 'recall': 0.759493670886076, 'f1-score': 0.759493670886076, 'support': 79}, 'macro avg': {'precision': 0.6556862745098039, 'recall': 0.5128168340506936, 'f1-score': 0.5184193617476976, 'support': 79}, 'weighted avg': {'precision': 0.7487217671878877, 'recall': 0.759493670886076, 'f1-score': 0.7219568335181415, 'support': 79}}",0.7465755,100,20,64,100,0.01,0.8,0.2,True,False,False,categorical_crossentropy,binary_crossentropy
